Page,Section,EnglishCommon,LatinSpecies,Length,Voice
210,Wagtails,Yellow Wagtail,Motacilla flava,17cm,"Call is a loud ""psweep"" that is given in flight and from a perch. Sings from May until July. Song is a variation on the call, interspersed with a rather feeble warble."
211,Wagtails,Grey Wagtail,Motacilla cinera,18-19cm,"Usual call is a loud, hard, sharp ""tswick"" that is shorter than the Pied Wagtail. Song, heard mainly between March and May, is a quiet trilling and quite melodious, given in flight or when perched."
212,Wagtails,Pied Wagtail,Motacilla alba,18cm,"Usual call is a sharp ""twissi-vit""or ""chizwit"" that is often given in flight. Song is quiet twittering interspersed with occasional call notes."
213,Dipper,Dipper,Cinclus cinclus,18cm,"Call, frequently given in flight, is a sharp ""zit, zit"" that carries above the sound of the river. Song is a sweet rippling warble, heard mainly September and October and again January-March, but also at other times."
214,Wren,Wren,Troglodytes troglodytes,9-10cm,"Call is a loud ""tic-tic-tic"" that has rattling quality. Song is powerful for such a diminutive bird, and it trembles as it sings a cascade of notes, generally ending with a loud and distinctive trill."
215,Dunnock,Dunnock,Prunella modularis,14.5cm,"Call is a shrill, piping ""tseep"" that is also heard while the birds are displaying. The short, fast warble is often given from a prominent perch in low trees and bushes. Males sing in the winter but most song is heard between January and July. Males copy parts of neighbouring Dunnock's songs and incorporate them in to their own."
216,Chats,Robin,Erithacus rubecula,14cm,"Call is an urgent ""tic, tic"" and a high-pitched ""tsweee"". Sings almost throughout the year (and sometimes at night near street lights). Song is varied and melodious and takes two distinct form. After autumn moult the song is rather sad and wistful, but from around Chistmas it becomes stronger, faster and more vigorous."
217,Chats,Nightingale,Luscinia megarhynchos,16.5cm,"Song is a remarkable rich, mellow series of notes that is delivered powerfully at night when it is most obvious, but also frquently heard during the day. It is loud and flutey and there are occurring phrases including a distinctive rapid ""chook, chook, chook, chook"" and a plaintive ""pioo, pioo"". Song is normally heard only between April and early June. Call is a soft ""hweet"" similar to a Chiffchaff but louder. The other call is a hard ""tacc, tacc""."
218,Chats,Black redstart,Phoenicurus ochruros,14.5cm,"Most common call is an urgent ""tucc, tucc"". Song is a short warble with some metallic jangles at the end. It is heard from March to July and sometimes in late summer."
219,Chats,Redstart,Phoenicurus phoenicurus,14cm,"Call a rather sweet, warbler-like ""hooweet"". Song a loud warble ending with distinctive mechanical jangle."
220,Chats,Whinchat,Saxicola rubetra,12.5cm,"Call is a sharp ""tic, tic"", similar to, but not as hard as, the call of a Stonechat."
221,Chats,Stonechat,Saxicola torquata,12.5cm,"Call is a hard ""hweet, chac, chac"", the last two notes being remarkably similar to two pebbles being cocked together. The variable song is rather like that of a Dunnock and sometimes given during a short songflight."
222,Chats,Bluethroat,Luscinia svecica,14cm,"Call is short, hard ""tacc, tacc"" or a plaintive warbler-like ""hweet"". Song may be given from a perch or in a short songflight and is a clear, repeated ""zruu, zruu, zruu"" accelerating and ranging up and down the scale. Mimics other species and other sounds."
223,Chats,Wheatear,Oenanthe oenanthe,14.5-15.5cm,"Call is a hard ""chack, chack"". It also has a pleasant warbling song that is given on the ground or during a short songflight."
224,Thrushes,Ring Ouzel,Turdus torquatus,23-24cm,"Call is a hard ""tac, tac, tac"" like the clicking of stones. Song is strong and flutey as it sings out a phrase of a few notes, pauses and sings another phrase. Quality is similar to a mistle thrush."
225,Thrushes,Blackbird,Turdus merula,24-25cm,"Noisy species wih a beautiful, mellow song that is a slow clear warble, which ""tails off"" at the end. If disturbed it makes a loud ""tchook-tchook-tchook"". At dusk many birds will give nervous ""chink, chink, chink"" calls. Song is mainly heard between March and July."
226,Thrushes,Fieldfare,Turdus pilaris,25.5cm,"The call is a loud ""chacker, chack, chack"" and a nasal ""ee-eep"" often given in flight. Song is a rather feeble warble with several hard, harsh notes and not often heard in Britain or Ireland."
227,Thrushes,Redwing,Turdus iliacus,21cm,"Soft thin ""seeip"" call, usually given in flight, is frequently heard after dark during migration. Song is variable and seldom heard in Britain or Ireland; it consists of jumbled, but repeated, notes."
228,Thrushes,Song Thrush,Turdus philomelos,23cm,"Far-carrying musical song comprises a series of short phrases, each repeated 3-5 times. Pattern of song is distinctive; individuals may have a repertoire of 100 phrases. Sings during the day and also at dusk (and sometimes a night near street lights), after most other birds finish singing. It sings from March to July and again briefly in autumn and during mild winter weather. Flight call is a thin ""tsic"", not as hard as a Robin's ""tick"" alarm note. It can be heard at night as migrants pass over."
229,Thrushes,Mistle Thrush,Turdus viscivorus,27cm,"Call is a loud rattling and chattering, given when the bird is alarmed, but also when travelling in flocks. Song is powerful, rather like a Blackbird, but louder with repeated song phrases, with pauses between."
230,Thrushes,Waxwing,Bombycilla garrulus,18cm,"Call is a high-pitched, trilling ""sirrrrr"", like a bell."
231,Warblers,Cetti's Warbler,Cettia cetti,13.5cm,"The song is an amazingly powerful, far-carrying, almost explosive series of liquid notes ""pwit, pity-chewit, chewit, chewit"". The song is heard throughout the year and at night during the breeding season. Te call is an abrupt ""chup"" or ""chip""."
234,Warblers,Grasshopper Warbler,Locustella naevia,12.5cm,"Song is a remarkable insect-like trill that can be sustained for several minutes or more without a break. Trill is uniform in pitch and has been likened to the mechanical sound made by an angler's reel. Volume appears to change as the bird turns its head while singing. Song comprises 26 double notes per second and is heard mainly between April and July, during the day and at night, and especially at dawn and dusk. The ability of humans to hear the song decreases with age! "
235,Warblers,Sedge Warbler,Acrocephalus schoenobaenus,13cm,"Song is loud, strong and repetitive; a mixture of varied fast chattering phrases, sweeter-sounding notes and some mimicry hat often includes sparrow-like chirrups. Call is a scolding ""tuk"" or grating ""chrirr"". Sings during the day and sometimes at night."
236,Warblers,Reed Warbler,Acrocephalus scirpaceus,13cm,"Song is a noisy, unmusical, repetitive chatter and churring with frequent changes in pitch. It is more even, less varied and lower pitched than Sedge Warbler's song and full of ""rrr"" and ""zzz""s."
237,Warblers,Marsh Warbler,Acrocephalus palustris,13cm,"Has a very different song from a Reed Warbler: a variety of rich and sweet phrases with some churring that is typical of this family, but without the harsh notes of the Sedge Warbler. Frquently mimics other species. One individual mimicked 70 different species within half an hour, and a total of 99 British species and 133 African species have been heard. Often there are imitations of Swallows, Greenfinches and Blue Tits mixed with African species, and all running up a musical scale."
238,Warblers,Icterine Warbler,Hippolais icterina,13.5cm,"Call is a short hard ""teck"", or a triple note ""tec, tec, tec"". Song is a musical ""tey-te-dwee"" that incorporates imitations of the songs and calls of other species. Song is similar to that of a Marsh Warbler, but is less rich and with phrases being repeated, especially a nasal ""geeea""."
239,Warblers,Melodious Warbler,Hippolais polyglotta,13cm,"Usually migrants are silent but sometimes utter a sparrow-like ""cherrek"". Territory-holding birds have a fast, rambling song - not very musical - which includes a rhythmic ""ptss-chur-chur"", a rising strong ""kooeee, looeee"" and a repeated ""bi-doo"", all interspersed with sparrow-like churrs."
240,Warblers,Dartford Warbler,Sylvia undata,12.5cm,"Call is quite distinctive buzzing ""tchirrr"". The song is a ""Whitethroat-like"" warble, but more metallic and musical. Song is mostly given from a perch, but it may also be delivered during a short songflight."
241,Warblers,Barred Warbler,Sylvia nisoria,15.5cm,"Usually rather silent, but it makes tacking and churring calls similar to a Whitethroat, including a hard ""charr"" call and a two-note ""tchad-tchad"". One call is like a quiet Mistle Thrush's rattle."
242,Warblers,Lesser Whitethroat,Sylvia curruca,12.5-13.5cm,"Song usually delivered from within dense cover such as a bush or hedge. Call is a hard ""tac, tac"" rather like a Blackcap but shorter. Song is heard from late April to June and is a dry rattle on the same note, and is very similar to a Cirl Bunting's song or the beginning of a Yellowhammer's. At close quarters a more musical warble can be heard before the rattle, and often a quiet ""stic, stic""."
243,Warblers,Whitethroat,Sylvia communis,14cm,"Common calls are hard ""tacc, tacc"" and scolding ""churrrr"". Song is a jumbe of unmusical phrases. Also has a more musical song sometimes heard early in the breeding season."
244,Warblers,Blackcap,Sylvia atricapilla,13cm,"The sweet and melodic song is one of the most lovely sounds of summer. Similar to that of a Garden Warbler, but Blackcap has more obvious phrases, rich clear notes, varying tempo and generally ends with a flourish. Call is a hard ""tack"" and a grating ""churr"". Sometimes individuals will mimic songs and calls of other birds."
245,Warblers,Garden Warbler,Sylvia borin,14cm,"Song may be heard between April and July an attractive stream of sweet, musical phrases that is confusingly similar to that of a Blackcap. Tends to be more even, subdued and hurried in its delivery and carries on in the same way for a long time, often singing non-stop for a minute or more. Calls are a hard ""tacc, tacc"" and grating ""churr""."
246,Warblers,Pallas's Warbler,Phylloscopus proregulus,9cm,"The call is a high-pitched ""chu-eep"", which rises upwards."
247,Warblers,Yellow-browed Warbler,Phylloscopus inornatus,10cm,"The call is similar to that of a Coal Tit and is loud single rising note ""suu-eet"". Individuals often call repeatedly, especially if others are also calling in the locality."
248,Warblers,Chiffchaff,Phylloscopus collybita,10-11cm,"Call is loud, rising ""huitt"" and the song a distinctive repeated ""ip-zap zip-zap, zip-zap"". Between song phrases it sometimes makes a much quieter ""terric, terric"" call."
249,Warblers,Willow Warbler,Phylloscopus trochilus,10.5-11.5cm,"The song is a pretty, liquid series of descending notes that starts softly and ends with a flourish. The common ""hoo-ee"" call is almost two notes run together."
250,Warblers,Wood Warbler,Phylloscopus sibilatrix,12cm,"Call is a loud, sweet sounding, rather plaintive ""pew-pew"". Song a remarkable series of ""tsic, tsic"" notes that accelerates into a shivering trill, with the bird trembling as it sings. Song is not usually given for a second time from the same perch and sometimes it will sing during its display flight. Also has a second song that is made up of the ""pew"" notes."
251,Flycatchers,Spotted Flycatcher,Muscicapa triata,14.5cm,"Call is a thin repeated ""tzee"" that has been likened to a squeaking wheelbarrow! The alarm is a sharper clicking ""eez-tchick"". Song is a rather quiet series of high-pitched notes and low scratchy warbles."
252,Flycatchers,Red-breasted Flycatcher,Ficedula parva,11.5cm,"The usual call is a rattling note, rather like a Wren's. It also makes a loud sharp ""chick""."
253,Flycatchers,Pied Flycatcher,Ficedula hypoleuca,13cm,"Call is a sharp ""whit"" and also a ""tic"". Song is a simple series of rather sweet notes ""suee-suee-sweet-sweet""."
254,Crests,Goldcrest,Regulus regulus,9cm,"Call is a high-pitched, thin ""tsee"" that is useful for locating this species. Song is sometimes heard in winter and regularly from February. It is high-pitched, wheeling ""tee-lee-de, tee-lee-de""."
255,Crests,Firecrest,Regulus ignicapillus,9cm,"Usual call is a ""zit"", lower pitched than Goldcrest and often a single note whereas a Goldcrest usually runs three or more call notes together. Song is a succession of ""zit"" notes that get louder and faster. It is slightly slower and harsher than a Goldcrest's song and ends suddenly without a flourish. Song is most commonly heard in May and June."
256,Tits,Bearded Tit,Panurus biarmicus,16.5cm,"Call is a metallic ringing ""ping, ping"" that may be given from cover, but also frquently by groups in flight. Song is a rather quiet twittering."
257,Tits,Long-tailed Tit,Aegithalos caudatus,14cm,"Common call is  thin, high-pitched ""see, see, see"" often interspersed with a short rolling ""thrup"". Song rarely heard - an elaborate version of the calls."
258,Tits,Marsh Tit,Poecile palustris,11.5cm,"Call is a loud and clear ""pit-chu"", quite unlike the call of the Willow Tit, which is followed by ""dee, dee"". Song is a rapid series of a single or double ""chip"" notes that run into each other to become a rattle."
259,Tits,Willow Tit,Poecile montanus,11.5cm,"Call is a nasal ""si, si, taah, taah, taah"", very different from the call of the Marsh Tit. The sweet warbling song of slow descending whistling notes is not often heard."
260,Tits,Crested Tit,Lophophanes cristatus,11.5cm,"Call is a thin high-pitched trill often repeated rhythmically. It is similar in quality to the call of a Long-tailed Tit, but sharper. It also makes a high-pitched ""see, see, see"" call. Song is combination of the various calls run together."
261,Tits,Coal Tit,Periparus ater,11.5cm,"Many calls sound like a high-pitched Great Tit. Makes a thin ""see, see, see"" call and has a loud song that is a repetitive double note ""pea-chew, pea-chew"", but there is variety in these songs."
262,Tits,Blue Tit,Cyanistes caeruleus,11.5cm,"Call is a thin ""see, see, see"" and it has a churring alarm call that rises at the end. Song can be heard at any time of year, but particulary from late winter into summer. It is a ""see, see, see-chu -chu -chu"" and ending with a short trill."
263,Tits,Great Tit,Parus major,14cm,"Has a very wide variety of different songs and calls, and vocabulary is complex. Most familiar call is a sharp ""chink"", rather like a Chaffinch, and a scolding ""cha-cha-cha"" when alarmed. In flocks, makes a softer ""tsee"". Song is variations on *teacher-teacher* which has been likened to a squeaky bicycle pump and is heard between January and June, and sometimes in autumn."
264,Nuthatch,Nuthatch,Sitta europaea,14cm,"Call is a loud ""tuit, tuit, tuit-tuit"" that becomes more strident when alarmed. This call is territorial and may be heard at any time of year. Also has a loud rattling ""pee, pee, pee"" trill that is most frequently heard in spring. Song is very varied and loud with whistling notes up and down the scale."
265,Treecreeper,Treecreeper,Certhia familiaris,12.5cm,"Call is a thin, high-pitched, wavering ""tsee, tsee"" call. Song is heard from February to April and again in autumn, a high-pitched trill followed by a warble that can be hard for humans to hear."
266,Shrikes,Red-backed Shrike,Lanius collurio,17cm,"Call is a harsh ""chack, chack"". Song is a scratchy warbling, now hardly ever heard in Britain."
267,Shrikes,Great Grey Shrike,Lanius excubitor,24-25cm,"Although often silent its calls include a harsh ""sheck, sheck"" or a magpie-like chatter. Some calls resemble a Starling's wheezing call or the shriek of a Jay."
268,Oriole,Golden Oriole,Oriolus oriolus,24cm,"Song is a loud clear flute-like whistle ""wee-la-weeo"", sounding very tropical. Also makes various harsher calls, including chattering rather like a Jay, and a cat-like squawk."
269,Crows,Jay,Garrulus glandarius,34-35cm,"Call is a harsh screech that travels considerable istance through the woods. It also has other, less obvious calls, including a mewing sound."
270,Crows,Magpie,Pica pica,44-46cm,"Frequently noisy with a ""chackr, chacker, chacker"" call that is both fast and scolding. It also has a commonly heard ""cha-ka"" call and a rarely heard, quiet, bubbling, repetitive song."
271,Crows,Chough,Pyrrhocorax,39-40cm,"Usual calls have some of the qualities of a Jackdaw, but are less abrupt, higher pitched and slightly more musical, a drawn-out ""kyaa"" and ""kyeow"" being the most common."
272,Crows,Jackdaw,Corvus monedula,33-34cm,"Call is a familiar hard ""tchack"" from which it gets its name. Also makes a loud ""ky-ow"". When mobbing a predator its cawing ""kaarr"" calls sound rather like Rooks and Carrion Crows."
273,Crows,Rook,Corvus frugilegus,44-46cm,"Most common call is a raucous ""kaah"". Song begins after moult has been comleted and consists of not very tuneful caws, croaks and squeaks."
274,Crows,Carrion Crow,Corvus corone,45-47cm,"Has a variety of calls including the deep and resonant ""kaarr"" and a hard ""konk, konk"", but not as resonant as a Raven."
275,Crows,Hooded Crow,Corvus cornix,45-47cm,"Has a variety of calls including the deep and resonant ""kaarr"" and a hard ""konk, konk"", which may be harder and more rolling than that of a Carrion Crow - although this is difficult to detect as there is considerable variability between individual birds."
276,Crows,Raven,Corvus corax,64cm,"Voice is suitably powerful for such a large bird. Usual flight call is hollow-sounding ""kronk, kronk"" or an echoing ""toc, toc, toc""."
277,Starling,Starling,Sturnus vulgaris,21.5cm,"Has a ""tcheerr"" call. Both sexes sing throughout year, but especially before egg laying. Song consists of harsh and rattling notes, including wheezy warbling and musical whistles, and often incorporates calls of other birds such as chickens, curlews, ducks. Mimics noises such as telephones and car alarms. Song is often accompanied by a visual signal, when the throat feathers are ruffled and the wings waved energetically."
278,Sparrows,House Sparrow,Passer domesticus,14-15cm,"Makes several simple calls, and insistent chirping and churring notes. Song is monotonous repetition of a single chirp."
279,Sparrows,Tree Sparrow,Passer montanus,14cm,"Basic call is a distinct ""chip"" that is higher-pitched than call of House Sparrow. Rudimentary song is a variation on call ""chip, chip, chippi, chip""."
280,Finches,Chaffinch,Fringilla coelebs,14.5cm,"Sings mainly between February and June. Song is short, fast and rather dry. It is a descending series of trills that accelerates and ends with a flourish. Call, which may be heard throughout the year, is a loud ""pink, pink""."
281,Finches,Brambling,Fringilla montifringilla,14cm,"Call, heard both in flight and when perched, s a rising ""tchway"". Song, which is rarely heard in Britain or Ireland, is a slow, wheezing ""dzwee""."
282,Finches,Serin,Serinus serinus,11.5cm,"Most common call is a fairly high-pitched, clear monotonous trilling ""tirrilillit""or ""prrrp"" note, and also a harder two- or three-syllable ""tchizzick"", remininscent of the call of a Pied Wagtail. Young also make ""zee"" or ""zit"" notes. Song is a rapid stream of jingling notes."
283,Finches,Goldfinch,Carduelis carduelis,12cm,"Most common call , often given in flight, is a pleasant tinkling ""whit-a-whit, whit"", heard all year round and is often the best clue of the bird's presence. Song is a liquid tinkling with trills and more nasal notes."
284,Finches,Greenfinch,Carduelis chloris,15cm,"Song is heard mainly between March and July. Makes a variety of wheezy notes and trills, repetitive ""too-eee"", and loud twittering trill that is often followed by a drawn-out wheezing ""dzeee"". In flight gives a repeated ""chichichichi"" and a dry ""jup, jup, jup"". "
285,Finches,Siskin,Carduelis spinus,12cm,"Call, frequently given in flight, is a clear, loud ""tsuu"" or a ringing ""tszng"". Song is a sweet twittering that includes a drawn-out wheeze."
286,Finches,Linnet,Carduelis cannabina,13.5cm,"Song of male, which may be heard at any time of year, but especially in spring, is a rather fast and pleasant warbling that has a slightly wheezy quality. Flight call is a rapid twittering ""chi, chi, chi, chit""."
287,Finches,Twite,Carduelis flavirostris,14cm,"Call usually incorporates a harsh ""twaaay"", similar to a Linnet but more ""nasal"". Also makes a more drawn-out ""tchway"" and ""tchway-de-wee"". Song is a variety of these individual notes, and not as well formed as that of Linnet."
288,Finches,Lesser Redpoll,Carduelis cabaret,11.5cm,"Flight call is a purring trill. Its song incorporates the trill and a twittering ""chi, chi, chi, chi"" that is usually given in its songflight."
289,Finches,Common Redpoll,Carduelis flammea,12.5cm,"The call is a trilling ""tji-tji-tji""."
290,Finches,Crossbill,Loxia curvirostra,16.5cm,"Call is a sharp ""chip, chip, chip"" and flocks make a loud crescendo of ""chips"". At dusk it makes a Blackbird-like ""chink-chink"". Song is an unremarkable soft twittering."
291,Finches,Scottish Crossbill,Loxia scotica,16.5cm,"The call is a hard, sharp ""chup, chup""."
292,Finches,Parrot Crossbill,Loxia pytyopsittacus,16-18cm,"Similar to Crossbill although some observers have described a deeper emphatic ""quop, quop"" call. Song tends to be lower, slower and slightly better enunciated than the Crossbill."
293,Finches,Common Rosefinch,Carpodacus erythrinus,14.5-15cm,"Most usual call is a loud ""chew-ee, chew-ee"" like the contact calls of young Willow Warblers but louder and the first syllable harsher. Song is a simple but very variable ""sit-too-swit-too""."
294,Finches,Bullfinch,Pyrrhula phrrhula,14.5cm,"Usual call soft but distinctive ""peu, peu"" and also quieter piping as birds keep contact in dense cover. Song is a quiet, creaking or piping warble and is seldom heard."
295,Finches,Hawfinch,Coccothraustes coccothraustes,18cm,"Most common call is a short ""tic, tic"", slightly harder than a Robin's alarm call. The rarely heard song is a slow ""deek, waree, ree, ree""."
296,Bunting,Lapland Bunting,Calcarius lapponicus,15-16cm,"Flight call is a distinctive dry, rattling ""terrek"". Sometimes it will make a Snow Bunting-like descending ""teu"" call. Song is quite musical and given during a songflight."
297,Bunting,Snow bunting,Plectrophenax nivalis,16-17cm,"Call, usually heard in flight, is a rippling twittering ""tirrirrirrip"". There are calls that sound like ""seu""and ""sichew"". Song is loud and musical and given from a perch or in flight."
298,Bunting,Yellowhammer,Emberiza citrinella,16-16.5cm,"Call is a sharp, clipped ""zit"" or soft ""trillp"". The famous ""little-bit-of-bread-and-no-cheese"" description of the song helps to describe the pace and form, which is variable, but tends to be a rapid succession of repeated notes with the last phrase drawn out into a long wheeze. Song is repeated monotonously during breeding season."
299,Bunting,Cirl Bunting,Emberiza cirlus,15.5cm,"Call a rather thin, high-pitched ""stic, stic"", higher and more metallic than Yellowhammer. Song heard between February and September; a rattling trill of a single repeated note - quite similar to the song of a Lesser Whitethroat and not unlike a Yellowhammer's song, but lacking the ""cheese"" at the end."
300,Bunting,Reed Bunting,Emberiza schoeniclus,15cm,"Usual call is shrill ""tsew"" that is given in flight, and also a metallic ""ching"". Song is very simple an repetitive; it is a collection of a few metallic notes ending in an unremarkable flourish ""tweek, tweek, tweek, titty-tweek""."
301,Bunting,Ortolan Bunting,Emberiza hortulana,16cm,"The call is a shrill ""tseeup"" or a liquid ""tip"". The song resembles Beethoven's Fifth Symphony - a short, simple ""dee, dee, dee, deee"" with a flat note at the end."
302,Bunting,Corn Bunting,Miliaria calandra,18cm,"Males with several mates sing more than males with only one. Song may start when males visit their territories in January or February and soon sing incessantly throughout the day. Song is an accelerating series of jangling notes that has been likened to jangling of keys. Call is a rather abrupt ""quit""."
