Page,Family,EnglishCommon,LatinSpecies,Length,Voice,
110,Trogonidae,Collared Trogon,Trogon collaris,9.5-10in,"A guttural ""kwa kwa kwa kwa kwa kwa""; also ""choi choi choi choi choi choi"" or ""cow cow"", etc. (Chalif).",
111,Trogonidae,Violaceous Trogon,Trogon violaceus,9-9.5in,"A soft, sweet, pleasant, ""cow-cow-cow"", etc., incessantly repeated (Skutch).",
111,Alcedinidae,Ringed Kingfisher,Megaceryle torquata,15-16in,"A rusty ""cla-ack"" or ""wa-ak"" (Webster).",
112,Alcedinidae,Amazon Kingfisher,Chloroceryle amazona,11inch,"A short harsh ""chert"" (Chalif); sometimes repeated in a rattle.",
112,Alcedinidae,Green Kingfisher,Chloroceryle americana,8in,"A sharp ""tick tick tick""; also a sharp squeak (RTP).",
112,Alcedinidae,Pygmy Kingfisher,Chloroceryle aenea,5.5in,"A scratchy ""tsweek""; creaking notes (Slud).",
113,Momotidae,Tody Motmot,Hylomanes momotula,6.5-7in,"A rapid screech-owl-like quavering ""cooooooo-o-o-o-oh""; also a low continued ""hoot-hoot-hoot"", etc. (Willis).",
113,Momotidae,Blue-Throated Motmot,Aspatha gularis,10-11in,"A ringing ""oot-oot-oot"" at 5-second intervals (Parker).",
113,Momotidae,Keel-billed Motmot,Electron carinatum,13-15in,"A loud far-reaching ""cut-cut-cakock'"", strikingly like the cackle of a hen (Lowery and Dalquest)",
113,Momotidae,Turquoise-browed Motmot,Eumomota superciliosa,13in,"A guttural froglike cry. Also ""ka-wock kawock"" and a chickenlike ""awk awk"" (Slud).",
114,Momotidae,Russet-Crowned Motmot,Momotus mexicanus,11-13in,"A low ""krrrooop"" (Chalif).",
114,Momotidae,Blue-crowned Motmot,Momotus momota,15.5-17in,"A very low resonant, owl-like ""hoot-hoot"" or ""oot-boot"", often given before daybreak (RTP).",
115,Galbulidae,Rufous-tailed (Black-chinned) Jacamar,Galbula ruficauda,10in,"A nasal ""peet"". A variety of calls, including a succession of short clear notes running up or down scale (Chalif).",
115,Bucconidae,White-necked Puffbird,Notharchus macrorhynchos,9-10in,"A thin, high, reedy twitter (Eisenmann).",
115,Bucconidae,White-whiskered (Brown) Puffbird,Malacoptila panamensis,8in,"Seldom heard; a high-pitched ""peep""; a long-drawn plainive ""tzeeee"" (Skutch).",
116,Ramphastidae,Keel-billed Toucan,Ramphastos sulfuratus,20in,"A monotonously repeated scratchy ""krrrk"" or ""grrik""; very froglike (RTP). A very often repeated ""gaab"" (Chalif).",
116,Ramphastidae,Emerald Toucanet,Aulacorhynchus prasinus,13in,"Low nasal barking notes; repetitious froglike calls, ec. Said to mimic other birds.",
116,Ramphastidae,Collared Aracari (Toucan),Pteroglossus torquatus,15-16in,"A squeaky, repeated ""we-chip, we-chip, we-chip"", etc. (RTP). A repeated ""ksee-yik"" (Eisenmann).",
117,Picidae,Olivaceous Piculet,Picumnus olivaceus,3.75in,"A laughing rattle; a sharp little ""pss pss"" (Slud).",
119,Picidae,Lineated Woodpecker,Dryocopus lineatus,12in,"A high ""peek"" and a lower ""cuchrrrrrrrr"". Suggests a flicker (Chalif). ""Wicka, wicka, wicka"" (Eisenmann).",
119,Picidae,Golden-cheeked Woodpecker,Centurus (Tripsurus) chrysogenys,8-8.75in,"A loud ""cheek-oo, cheek-oo, cheek-oo"" (Alden).",
120,Picidae,Black-cheeked Woodpecker,Centurus (Tripsurus) pucherani,7.5in,"""Churrr, churrr, churrr""; also a higher, sharp ""chirriree"" or ""keereereek"" (Eisenmann).",
120,Picidae,Gila Woodpecker,Centurus uropygialis,8-10in,"A rolling ""churr"" and a sharp ""pit"" or ""yip"" (RTP).",
120,Picidae,Golden-fronted Woodpecker,Centurus hypopolius,8.5-10.5in,"A tremulous rolling ""churrrr"". A flickerlike ""kek-kek-kek-kek"" etc. (RTP).",
122,Picidae,Smoky-brown Woodpecker,Veniliornis fumigatus,6-6.5in,"A rapid harsh rasping ""zur-zur-zur-zur"", etc. (Slud).",
122,Picidae,Ladder-backed Woodpecker,Dendrocopos scalaris,5.5-7.5in,"A rattling series: ""chikikkkikikikkik"", diminishing. Note, a sharp ""pick"" or ""chik"" (RTP).",
122,Picidae,Brown-backed (Arizona) Woodpecker,Dendrocopos arizonae,7-8in,"A sharp ""spik"" or ""tseek"", sharper than notes of Ladder-backed Woodpecker. A hoarse whinny (RTP).",
123,Picidae,Pale-billed (Flint-billed) Woodpecker (Guatemalan Ivorybill),Campephilus (Phloeoceastes) guatemalensis,13-14in,"""Ka ka ka ka ka kay"". Call suggests a nuthatch (Chalif). Has a distinctive double rap when it drums.",
124,Dendrocolaptidae,Tawny-winged Woodcreeper,Dendrocincla anabatina,7-7.5in,"Usual note a reedy, sometimes quavering ""squirp""; call a long-drawn softened rattle (Slud).",
124,Dendrocolaptidae,Ruddy Woodcreeper,Dendrocincla homochroa,7.5in,"Reedy, scratchy, or squeaky noes; a chattering and a churring ""rattle"", and a grating-pulley sound (Slud).",
124,Dendrocolaptidae,Olivaceous Woodcreeper,Sittasomus griseicapillus,6-6.5in,"A dry rattle or twitter on descending scale (Chalif). Also described as a watch spring suddenly running down, a forced buzz, rising in pitch, then descending rapidly.",
124,Dendrocolaptidae,Wedge-billed Woodcreeper,Glyphorhynchus spirurus,5.75-6in,"A fine ""chip""; may be rapidly repeated. Song, a rapid warblerlike trill that tapers off sharply (Skutch).",
124,Dendrocolaptidae,Strong-billed Woodcreeper,Xiphocalaptes promeropirhynchus,12in,"A loud rough ""schifferty-schifferty-schifferty-schiff""; also call notes, ""yip-yip-yip"" and ""pee-yub"" (Willis).",
126,Dendrocolaptidae,Barred Woodcreeper,Dendrocolaptes certhia,10-11.5in,"A loud ""tew'-wee, tew'wee, tew'wee"" (Howell). A slow ""oi-ink"", repeated 2-3 times (Slud).",
126,Dendrocolaptidae,Buff-throated Woodcreeper,Xiphorhynchus guttatus,8.5-9in,"Noisy. Call, a descending series of plaintive ""wick""'s, each gradually losing intensity (Slud).",
126,Dendrocolaptidae,Ivory-billed Woodcreeper,Xiphorhynchus flavigaster,9-9.5in,"A rapid, whistled series ""whi whi whi whi"", etc., running down the scale; or may end with a bright ""whee-whee"" (RTP)",
127,Dendrocolaptidae,Spotted Woodcreeper,Xiphorhynchus erythropygius,8-.5in,2 or more sad 'desolately whistled sighs' that taper downward and are successively lower (Slud).,
127,Dendrocolaptidae,Streak-headed Woodcreeper,Lepidocolaptes souleyetti,7.5-8in,"A series of fast even notes, ""chichichichi"", etc., on same pitch or rising and falling in pitch (Chalif).",
128,Dendrocolaptidae,Spot-crowned Woodcreeper,Lepidocolaptes affinis,7.5-8in,"A low ""tseeyup"" or ""cheeyup"" (Chalif). A 3-note set of reedy squeaks (Slud).",
128,Furnariidae,Rufous-breasted Spinetail,Synallaxis erythrothorax,5.75-6in,"Song, 3 or 4 emphatic notes ascending in pitch, and dropping on last note: ""wit-wit-wit-tew"" or ""pit-peet-peechew"" (RTP). ""Zheezhee-zee-zhoo"" (Monroe).",
128,Furnariidae,Scaly-throated Foliage-Gleaner,Anabacerthia variegaticeps,6-6.5in,"A harsh ""nye-wee'yo"" (Eisenmann).",
129,Furnariidae,Ruddy Foliage-Gleaner,Automolus rubiginosus,7.5-8.25in,3 or 4 long inflected whistles much like a human whistle (Marshall). A clear 2-note call (Rowley).,
129,Furnariidae,Buff-throated Foliage-Gleaner,Automolus ochrolaemus,7-7.5in,"A snorting ""churr"" or nasal roll. Also a low, harsh, frog-like 'crecking' ""churr"" (Slud).",
129,Furnariidae,Plain (Little) Xenops,Xenops minutus,4.5-4.75in,"A fine, sharp, very rapid trill (Skutch). A high thin ""tsiss""; other hisslike notes (Slud).",
130,Furnariidae,Tawny-throated Leafscraper,Sclerurus mexicanus,6-6.5in,"A series of sharp descending ""squee""'s (Slud).",
130,Furnariidae,Scaly-throated Leafscraper,Sclerurus guatemalensis,6.5-7in,"Song, ""pwik-wik-wik-wik-wik-wik-wik-wik""; rises and speeds in middle, then slows somewhat (Slud).",
131,Formicariidae,Great Antshrike,Taraba major,7.5-8in,"An accelerating series of hoots, suggesting a trogon; often terminated by a nasal snarl (Eisenmann).",
131,Formicariidae,Barred Antshrike,Thamnophilus doliatus,6-6.5in,"A rapid, accelerating roll or rattle, ""kuk-kuk-kuk-uk-uk-uk-k-k-k-kkkkkkk"", ending with an emphatic ""wek"" (RTP"").",
131,Formicariidae,Slaty Antshrike,Thamnophilus punctatus,5.5-6in,Resembles that of Barred Antshrike (Land).,
131,Formicariidae,Russet (Tawny) Antshrike,Thamnistes anabatinus,5.5-6in,"Song, a measured series of ""tswit""'s, intensifying, then falling. Call notes, ""switsit"" or ""weesawisst"" (Slud).",
132,Formicariidae,Plain Antvireo,Dysithamnus mentalis,4.25in,"Song excellent, suggests certain antshrikes, but higher-pitched, faster: ""hee, hee, hee-hee-hee-heeheeheehee"". Call, a nasal ""nyoot, nyoot"" (Eisenmann).",
132,Formicariidae,Slaty Antwren,Myrmotherula schisticolor,4in,"Song, ""t'weet t'weet t'weet, t'weet weet weet weet weet"", in very low soft notes (Skutch). Call, a nasal, whining ""nyeeah""; also a sharp ""pseeyt"" (Eisenmann).",
132,Formicariidae,Dot-winged Antwren,Microrhopias quixensis,4.5in,"Song, 6 weak ascending notes, followed by a falling rattle: ""chee chee chee chee chee chee chr'r'r'r'r'r"" (Skutch). Calls, ""wit-wit; tit-tit; cheet, cheet, etc."" (Eisenmann).",
133,Formicariidae,Dusky Antbird,Cercomacra tyrannina,5.25-6in,"Song, 5-8 piping whistles rising irregularly in pitch, ""pu, pu, pipipee"" and ""pu, peh, pi'pipipeepee"" (Eisenmann).",
133,Formicariidae,Bare-crowned Antbird,Gymnocichla nudiceps,6-6.5in,"Song, about 8 loud, rich ""cheep""'s, the last few speeded up; suggests Dusky Antbird (Slud).",
134,Formicariidae,Black-faced Antthrush,Formicarius analis,7in,"A rapid series of mellow whistles on an even pitch, starting with 1 deliberate note: ""whew, hew-hew-hew-hew-hew-hew-hew-hew"" (RTP).",
134,Formicariidae,Scaled Antpitta,Grallaria guatimalensis,7.5in,"A hollow, repeated whistle, accelerating, then slowing: ""cow, cow, cow-cow-cowcowcowcow, cow"" (Skutch).",
134,Pipridae,Gray-headed Manakin,Piprites griseiceps,4.5in,"A prolonged ""wip-pip-pipürürürürürr-prürr"" (Slud).",
135,Pipridae,Red-capped Manakin,Pipra mentalis,4in,"Male in display flicks wings and gives a rough, flat buzz (*Bronx cheer* or *raspberry*). Also light ""tsit"" notes. When leaving perch, male makes a dry snap (RTP).",
135,Pipridae,Long-tailed Manakin,Chiroxiphia linearis,4in,"A mournful, whistled ""teoo-ho"", the ""teoo"" slurred, ""ho"" lower (RTP).",
135,Pipridae,White-collared Manakin,Manacus candei,4.5in,"In display dance, wing-snapping, terminating in a short buzz (Land).",
136,Pipridae,Thrushlike Manakin,Schiffornis turdinus,6.5in,"A 3-part whistle, pensive and restrained - 1st part ascending, 2nd very short, 3rd ascending (Skutch). ""Ho-wee'-pee"" (Smith).",
136,Cotingidae,Lovely Cotinga,Cotinga amabilis,7.5in,"In flight, males make a sound intermediate between a rapid tinkle and a rattle (Skutch).",
137,Cotingidae,Bright-rumped Attila,Attila spadiceus,7-8.5in,"A musical ""weeba weeba weeba weeba"" (Chalif). A fly-catcherlike ""wheet, wheet - wheet - wheeto, wheeto"" (RTP).",
137,Cotingidae,Speckled Mourner,Laniocera rufescens,8in,"A loud, clear, deliberate ""tee', deh"" (almost half second between notes); sometimes ""tee'-dee-deh"" (Eisenmann).",
137,Cotingidae,Rufous Mourner,Rhytipterna holerythra,8-8.5in,"A minor-keyed 2-note *wolf whistle*. Also a sad ""weep"" (Slud). An emphatic mournful *so-dear* (Eisenmann).",
137,Cotingidae,Rufous Piha,Lipaugus unirufus,9-9.5in,"A loud, emphatic whistled ""choowee'oo"", sometimes ""whee'oo"" or ""pee'a"" or ""whee'oo"" (Eisenmann).",
138,Cotingidae,Cinnamon Becard,Pachyramphus cinnamomeus,5.5-6in,"Song, a loud whistled trill, ""tee-dee-dee-dee-dee-dee-dee"". Call, ""tew-dee-dee"" (Eisenmann).",
138,Cotingidae,White-winged Becard,Pachyramphus polychopterus,5-6in,"Song, 6 or 7 quick liquid notes, each higher and weaker; sometimes at same pitch (Chalif). A rhythmic tittering series, ""teet-teet-teet-teet-teet-teet"" (Eisenmann).",
138,Cotingidae,Gray-collared Becard,Pachyramphus major,5.5-6in,"Song, a sweet repetitious, 2- or 3-note whistle ""sir-piti, sir-piti"", etc., with rising inflection (RTP).",
138,Cotingidae,Rose-throated Becard,Platypsaris aglaiae,6-6.5in,"A thin 2-syllabled whistle, ""swee-at"" (Chalif).",
138,Cotingidae,Masked Tityra,Tityra semifasciata,7.5-8in,"Grunting notes. A dry  ""quert-quert"" (Sutton). A nasal ""quet, quet, quet"", varied to ""quit, quit, quit"" (Eisenmann).",
138,Cotingidae,Black-crowned Tityra,Tityra inquisitor,7-.5in,"Call, a soft rattle; also a nasal ""wuz wuz"" or ""swaz-waz"" (Chalif). Notes less grunty than last species.","I presume ""than last species"" means the Cassin's Kingbird but it's not entirely clear"
140,Tyrannidae,Vermilion Flycatcher,Pyrocephalus rubinus,5-6in,"A slightly phoebelike ""p-p-pit-zee"" or ""pit-a-zee""; elaborated during male's butterfly like hovering display flight.",this is where I stopped noting down the authors
141,Tyrannidae,Fork-tailed Flycatcher,Muscivora tyrannus,"M 13-16in, F 10-12in","A pebbly ""krrrrrr""; a metallic ""zlit""; a clicking sound produced by bill.","alternate specis name ""Tyrannus savana""?"
141,Tyrannidae,Cassin's Kingbird,Tyrannus vociferans,8-9in,"A low nasal ""queer"" or ""chi-queer"" or ""ki-dear""; also an excited ""ki-ki-ki-dear, ki-dear, ki-dear"", etc.",
141,Tyrannidae,Western Kingbird,Tyrannus verticalis,8-9in,"Shrill bickering calls; a sharp ""whit"" or ""whit-ker-whit"".",
142,Tyrannidae,Tropical Kingbird,Tyrannus melancholicus,8-9in,"T. m. couchii, a high nasal, slurred ""queer"" or ""chi-queer"" or ""preer"", resembling notes of Cassin's Kingbird but higher. Also ""preer-tiwichew"". A long-drawn ""gereeeeeeer"", suggesting a distant Pauraque. Voice of the more widespread Cen. American for (T. m. chloronitis) is high-pitched, rapid twittering ""piririreeree""; als a loud clear ""seet-teet-teet"".",
142,Tyrannidae,Thick-billed Kingbird,Tyrannus crassirostris,9in,"""Brrr-zee"" or ""purr-eet"".",
143,Tyrannidae,Piratic Flycatcher,Legatus leucophaius,10.25in,"A rising and falling ""swee-el"", followed by ""dididi"" on level pitch. A partly trilled, complaining ""wee'-yee"" with an added ""piririree"".",
143,Tyrannidae,Sulphur-bellied Flycatcher,Myiodynastes luteiventris,5.75-6.5in,"A high penetrating ""kee-zee'-ik! Kee-zee'-ik!"" given by both male and female, often in duet.",
143,Tyrannidae,Streaked Flycatcher,Myiodynastes maculutus,7.5-8.5in,"""Si sip sip seyf"" (rising on ""seeyf""); ""bap-bap-bap-bap"", ending with ""seeyf"". A semiwhistled ""chee'oo-reweep"" or ""wee'-a-roweep"" often introduced by a ""chup"".",
144,Tyrannidae,Boat-billed Flycatcher,Megarynchus pitangua,8.5-9.5in,"A rough, rasping ""khrrrrr""; also a loud repeated ""chirrup"", suggestive of House Sparrow. ""Kee'rrrik"", vaguely suggesting Belted Kingfisher's rattle.",
144,Tyrannidae,Social (Vermillion-crowned) Flycatcher,Myiozetetes similis,7in,"An excited ""chee' cheechee' cheechee' cheechee'"". A loud harsh ""kree'yoo""; also a rapid explosie ""kee'yoo-kyi-kyi-kyi-kee"".",
144,Tyrannidae,Great Kiskadee (Kiskadee Flycatcher),Pitangus sulphuratus,9-10in,"A loud ""kis-ka-deer"" or ""ki-deer""; also ""dzhee"" or ""queee"". ""Geep career, geep, geep career"".",
145,Tyrannidae,Great-crested Flycatcher,Myiarchus crinitus,8-9in,"A loud whistled ""wheeeep!"" (rising inflection); a rolling ""prrrrret!"". Also ""whoit-whoit-whoit"".",
145,Tyrannidae,Ash-throated Flycatcher,Myiarchus cinerascens,7.5-.5in,"""Pwit""; also a rolling ""chi-beer"" or ""prit-wherr"". ""Ka-brick""; also ""ha-whip"" and ""ha-wheer"".",
145,Tyrannidae,Nutting's (Pale-throated) Flycatcher,Myiarchus nuttingi,7in,"A clear, penetarting, whistled ""peer""; suggests voice of Dusky-capped Flycatcher, but higher, less plaintive.",
146,Tyrannidae,Brown-crested (Wied's) Flycatcher,Myiarchus tyrannulus,9in,"A sharp ""whit"", a short ""prrrr"", and a rolling throaty ""purreeer"". Voice stronger than Ash-throated Flycatcher's.",
146,Tyrannidae,Yucatan Flycatcher,Myiarchus yucatanensis,7in,"Call, a long whistled ""wheeeeee"" rising in pitch; also a shorter call rising, then dropping.",
147,Tyrannidae,Dusky-capped (Olivaceous) Flycatcher,Myiarchus tuberculifer,6-7in,"A mournful whistle, slurring down, ""peeur"". A whistled ""wheeeww"" and ""wheeeep"", sometimes slurred.",
147,Tyrannidae,Flammulated Flycatcher,Deltarhynchus flammulatus,6in,"Plaintive, suggesting Dusky-capped Flycatcher. Also a low bubbling or rolling ""prrrreep"".",
147,Tyrannidae,Eastern Wood-Pewee,Contopus virens,NA,"Plaintive song, ""pee-ur"" and ""pee-a-wee"".","merely a ""memo""; put the onomatopoeia out of the brackts"
147,Tyrannidae,Western Wood-Pewee,Contopus sordidulus,NA,"Nasal song ""peeyee"" or ""peeeer"".","merely a ""memo""; put the onomatopoeia out of the brackts"
148,Tyrannidae,Tropical Pewee,Contopus cinereus,5-5.5in,"A burred and slightly trilled ""preeee""; a repeated ""swee'rrip""; a ""wheerrt"" or ""prrreet"".",
148,Tyrannidae,Greater Pewee (Coue's Flycatcher),Contopus pertinax,7.5in,"Song, a thin plaintive whistle, ""ho-say"", ""re-ah"" or ""ho-say, ma-re-ah"" (*José María*).",
148,Tyrannidae,Tufted Flycatcher,Mitrephanes phaeocercus,5in,"""Che che che che tse tse tse tse"". A fast piping ""peepeepeepeepeepeepee"", and a plaintive, rapidly given ""turee-turee"".",
149,Tyrannidae,Yellow-bellied Flycatcher,Empidonax flaviventris,NA,"Voice, a spiritless ""chur-wee"".",
149,Tyrannidae,Acadian Flycatcher,Empidonax virescens,NA,"Voice, a rising ""spit-chee!"" or a thin ""peet"".",
149,Tyrannidae,Willow (Traill's Flycatcher),Empidonax traillii,NA,"Not recognizable in field except by voice, a sneezy ""fitz-bew""; may call in winter.",
149,Tyrannidae,Alder Flycatcher,Empidonax alnorum,NA,"Not separable in field except by voice; this species sings ""zwee-bee'-o"" or ""fee-bee'-o"".",
149,Tyrannidae,White-throated Flycatcher,Empidonax albigularis,4.75-5in,"A sharp ""buzzt"". Song, an explosive, but not loud, ""pseeyp"" or ""kzeeyip"".",
150,Tyrannidae,Least Flycatcher,Empidonax minimus,NA,"Voice, ""che-bek'"".",
151,Tyrannidae,Western Flycatcher,Empidonax difficilis,NA,"Dawn song (sometimes heard all day), 3 thin notes: ""pseet-trip-seet!"". Arrangement varies.",
151,Tyrannidae,Yellowish Flycatcher,Empidonax flavescens,5in,"Dawn song, ""seee seee chit"", sometimes ""see chit see""; call ""tseeent"" or ""psink"".",
151,Tyrannidae,Buff-breasted Flycatcher,Empidonax fulvifrons,4.5-5in,"""Chicky-whew"" (Lusk); ""chee-lick"" (Brandt).",
152,Tyrannidae,Pileated Flycatcher,Aechmolophus mexicanus,5.5in,"Song, ""ra-reee-e-e-e-reechoo""; ""twheeyu, tr-r-r-eet-yu"".",
152,Tyrannidae,Belted Flycatcher,Xenotriccus callizonus,5in,"An excited ""pic-pic-pweer"" or ""pic-pic-piweer"".",
152,Tyrannidae,Ruddy-tailed Flycatcher,Terenotriccus erythrurus,3.5in,"A thin ""tsee'oo-tee"" or ""seeoo-bzew"". A high thin ""chee'-twit"".",
152,Tyrannidae,Sulphur-rumped Flycatcher,Myiobius sulphureipygius,5in,"Note, a sharp ""psit"". Song, 5 high, sharp notes followed by about 5 warbled notes. Also ""cheu cheu cheu cheu"" in a pleasant voice.",
153,Tyrannidae,Northern Royal-Flycatcher,Onychorhynchus mexicanus,6-7in,"A loud, clear hollow-sounding whistle; also a higher, sharper, wiry note, repeated many times.",
153,Tyrannidae,White-throated Spadebill,Platyrinchus mystaceus,3.5-4in,"A nasal or reedy ""tidit"" or ""itarit"". A frequently repeated buzzy, 2-noted call.",
153,Tyrannidae,Yellow-olive (White-eyed) Flycatcher,Tolmomyias sulphurescens,5-5.5in,"A thin hissing whistle, insistent; suggests lisping call of Cedar Waxwing; ""ss-ss-ss-ss"".",
154,Tyrannidae,Eye-ringed Flatbill,Rhynchocyclus brevirostris,6in,"Note, a weak, harsh, sputtering whistle.",
154,Tyrannidae,Common (Northern) Tody-Flycatcher,Todirostrum cinereum,4in,"""Ziziup, ziziup"", etc., repeated 3-5 times. A resonant trill, ""trrrrr"", repeated at intervals. Also a short ""srrrr, atsip""; a serie of high ""tick"" notes.",
154,Tyrannidae,Slate-headed Tody-Flycatcher,Todirostrum sylvia,3.75in,"Call, ""tip-trrrr""; also ""turp""; ""trrrp-trrp"". A rattling trill, ""trrrrrrii"".",
155,Tyrannidae,Northern Bentbill,Oncostoma cinereigulare,4in,"A short trilled whistle, ""wwwwwwwww"", given very softly; bird will respond to imitation.",
155,Tyrannidae,Yellow-bellied Elaenia,Elaenia flavogaster,6in,"A noisy ""pweer"" or ""preeup"". Also ""preeup preeup whi preeup"", repeated insistently. A harsh grating ""kreeo"" or ""kreeo wee kreeo""; also a burred ""freeee"".",
155,Tyrannidae,Caribbean Elaenia,Elaenia martinica,6in,"A harsh ""je eyup whe whe yup"". ""Che-eup"", often followed by ""wi-wi-eup"".",
156,Tyrannidae,Mountain Elaenia,Elaenia frantzii,6in,"A burred, drawled ""peweelike"" ""peeee-err"" and a ""peeoo"",varied to ""wheeoo"" and ""whee"".",
156,Tyrannidae,Greenish Elaenia,Myiopagis viridicata,5.5in,"Note, a buzzy ""cheez"" or ""cheez weez"".",
156,Tyrannidae,Northern Beardless Tyrannulet (Beardless Flycatcher),Camptostoma imberbe,4in,"Call note, a thin ""peeee-yuk"" or ""squee-up"". Also a series of fine gentle notes, ""ee, ee, ee, ee"", increasing in volume toward middle of series.",
157,Tyrannidae,Paltry Tyrannulet,Tyranniscus vilissimus,4.5in,"A frequently uttered, semiwhistled ""peeee yick"" or ""chee-yip""; also a short trill.",
157,Tyrannidae,Yellow-bellied Tyurannulet,Ornithion semiflavum,3-3.5in,"A series of 3-5 ""dee""'s, of about same pitch.",took plural s out of O
157,Tyrannidae,Sepia-capped Flycatcher,Leptopogon amaurocephalus,4.5-5in,"Exceedingly loud and harsh, seeming to come from a bird 3 times its size.",
157,Tyrannidae,Ochre-bellied Flycatcher,Pipromorpha oleaginea,4.5-in,"Song, a monotonously repeated ""twick-twick-twick"", etc. (3 per second), or a slower ""tsyick-tsyick-tsyick"".",
159,Hirundinidae,Mangrove Swallow,Tachycineta (Iridoprocne) albilinea,5in,"""Chi-chi"" or ""jir jir jir"".",
159,Hirundinidae,Black-capped Swallow,Notiochelidon pileata,5in,"A note that sounds like ""zweep"".",
160,Hirundinidae,Gray-breasted Martin,Progne chalybea,6.5-7in,"A musical ""chrrrr"". Song, a warbling, rather musical ""churrr churrrche churrr"", etc.",
161,Hirundinidae,Cave Swallow,Petrochelidon fulva,6-8in,"A clear ""weet"" or ""cheweet""; a loud accented ""chu, chu"". Song, a series of squeaks blending into a complex melodic warble; ending in double-toned notes.",
162,Corvidae,Mexican Crow,Corvus imparatus,14.5-16in,"Birds of the Gulf slope utter a surprisingly low, hoarse ""craw"" or ""khurrr"". Birds of the Pacific slope have a higher voice; a shrill ""creow"".",
163,Corvidae,Black-throated Magpie Jay,Calocitta formosa colliei,25-28in,"Noisy; a variety of jaylike sounds; a harsh reiterated ""grah"" or ""khrah""; also a querulous, downward-slurring ""kew, kew, kew"", or ""kyoo, kyoo, kyoo, kyoo"", etc.; bubbling and stuttering sounds.",
163,Corvidae,White-throated Magpie Jay,Calocitta formosa,20-22in,Similar to Black-throated Magpie Jay's.,
163,Corvidae,Brown Jay,Psilorhinus morio,14-18in,"Similar to that of Blue Jay of N. America but more asal; a harsh *thief! thief!*. An exchited ""jhay! jhay jhay"", etc., higher in pitch than Blue Jay.","marked as warblish due to the excalation mark... Even though it's just one syllable, but the spelling is too unlikely to be off"
164,Corvidae,Tufted Jay,Cyanocorax dickeyi,14-15in,"Highly variable; most common basic call, ""rak"" (varied to ""ruk"", ""rook"", ""tuk"", or ""pik""); also a low-intensity, nasal ""aaagh"" and a bell-like ""ped-el"" or ""pid-it"".",
164,Corvidae,Green Jay,Cyanocorax yncas,10-12in,"A rapid ""cheh cheh cheh cheh""; alsoo a slower ""cleep, cleep, cleep"", etc.; a dry throaty rattle; also other calls.",
165,Corvidae,Azure-hooded Jay,Cyanolyca cucullata,11-12in,"A loud excited 'spinking', almost ringing ""peenk peenk peenk peenk""; also a harsh ""aaaa"".",
166,Corvidae,Black-throated Jay,Cyanolyca pumilo,9.5-10in,"Suggests Scrub Jay; a rapid scolding ""kwesh-kwesh-kwesh""; a soft querulous ""shrreee"".",
166,Corvidae,Dwarf Jay,Cyanolyca nana,8-9in,"A doubly inflected, harsh, nasal, querulous ""perzheeup"", singly or in groups. Not loud.","""Not"" is italicized"
166,Corvidae,Scrub Jay,Aphelocoma coerulescens,11-13in,"Rough rasping notes ""kwesh - kwesh"". Also a harsh ""check-check-check-check"" and a rasping ""shreek"" or ""shrink"".",
166,Corvidae,Gray-breasted (Mexican) Jay,Aphelocoma ultramarina,12-13in,"A rough, querulous ""wink? wink?"" or ""zhenk?"".",
166,Corvidae,Unicolored Jay,Aphelocoma unicolor,12-13in,"Similar to Gray-breasted Jay's, more varied.",
167,Corvidae,Steller's Jay,Cyanocitta stelleri,11-13in,"A loud ""shook-shook-shook"" or ""shack-shack-shack"" or ""wheck-wek - wek - wek"" or ""kewsh kwesh kwesh"", etc.",
170,Troglodytidae,Gray-barred (Gray) Wren,Campylorhynchus megalopterus,6.5-7.75in,"Harsh chattering, similar to Band-backed Wren's.",
171,Troglodytidae,Band-backed Wren,Campylorhynchus zonatus,7-7.75in,"Suggests a muted jay, ""raha, raha, raha, raha"". ""Tsu-ka, tsu-ka"", etc.",
171,Troglodytidae,Rufous-naped Wren,Campylorhynchus rufinucha,6-7in,"Song, a jerky, chanting ""howdit howdiwit howdiwit howdiwit""; also a repetitious ""chi-i-up"" 4-6 times.",
172,Troglodytidae,Cactus Wren,Campylorhynchus brunneicapillus,7-8.75in,"A low monotonous ""chuh-chuh-chuh-chuh"", etc., or ""chug-chug-chug-chug-chug"", on 1 pitch. Unbirdlike.",
172,Troglodytidae,Yucatan Wren,Campylorhynchus yucatanicus,7in,"Song series more bisyllabic than that of Cactus Wren; a dry, rollicking ""chortle-chortle-chortle"".",
173,Troglodytidae,Carolina Wren,Thryothorus ludovicianus,5in,"A 2- or 3-syllabled whistled phrase, repeated usually 3 times in a rollicking chant. Variable.",
173,Troglodytidae,Plain Wren,Thryothorus modestus,5-5.5in,"4 whistled notes, repeated 3-5 times. A screechy trisyllabic ""chin-cheer-gwee"", repeated 3 times, apparently in duet by 2 birds (""chin-cheer"", then a lower answering ""gwee""). ""Cheen'-chiriguee'""",
174,Troglodytidae,Banded Wren,Thryothorus pleurostictus,5-5.5in,"A succession of repetitious whistles on various pitch levels: ""prrrrrr, chechecheche, wit-wit-wit-wit-wit""; or ""wee, whe-whewhe, chur-chur, choochoochoochoo"" etc.",
