Page,EnglishCommon,LatinSpecies,Length,Voice,Comment
170,Black-faced Cuckoo-shrike,Coracina novaehollandiae,33,"creaky ""kreeark"".",
170,White-bellied Cuckoo-shrike,Coracina papuensis,26-28,"shrill ""kseak"".",
170,Cicadabird,Coracina tenuirosris,24-26,cicada-like trill.,
170,Ground Cuckoo-shrike,Coracina maxima,33-37,"distinctive, metallic.",
170,White-winged Triller,Lalage tricolor,18,trilling call.,
170,Varied Triller,Lalage leucomela,19,distinctive trill.,
172,Red-whiskered Bulbul,Pycnonotus jocosus,20,"melodic whistles, chirps.",
172,White's Thrush,Zoothera dauma,26,high-pitched contact/alarm calls.,
172,Blackbird,Turdus merula,25,"complicated, pleasant song: sharp alarm call.",
172,Song Thrush,Turdus philomelos,23,"superb, complicated song; high contact call.",
172,Northern Scrub-robin,Drymodes superciliaris,22,four high descending notes; scolding call.,
172,Suthern Scrub-robin,Drymodes brunneopygia,23,"pleasant, loud whistles, typically ""clock-o-pe-er"" but variable.",
174,Rose Robin,Petroica rosea,11,"male has characteristic calls; both sexes ""tick"".",
174,Pink Robin,Petroica rodinogaster,12,rarely calls.,
174,Scarlet Robin,Petroica multicolor,13,male territorial song repeated.,
174,Red-capped Robin,Petroica goodenovii,12,"male has characteristic calls; both sexes ""tick"".",
176,Hooded Robin,Melanodryas cucullata,16,"piping whistles, trilling; usually quiet.",
176,Dusky Robin,Melanodryas vittata,16.5,"low, penetrating ""choo-wee"".",
176,Mangrove Robin,Eopsaltria pulverulenta,16,"plaintive double whistle; melodious song; harsh ""chuk"".",
176,White-breasted Robin,Eopsaltria georgiana,14.5,"piping whistles ""wee-oh""; harsh chattering ""chit-chit"".",
176,Eastern Yellow Robin,Eopsaltria australis,15,"monotone piping; harsh ""chit"".",
176,Western Yellow Robin,Eopsaltria griseogularis,15,like Eastern Yellow Robin.,
178,Yellow-legged Flycatcher,Microeca griseoceps,12,"""zzt-zzt-zzt""; also fine trilling song ""I-don't-ever-want-to-see-you-again, again"".",
178,Lemon-bellied Flycatcher,Microeca flavigaster,12,"varied melodious songs; ""choo-choo-suri-so-we-choo"".",
178,Kimberley Flycatcher,Microeca tormenti,12.5,like Lemon-bellied Flycatcher.,
178,Jacky Winter,Microeca leucophaea,13,"sweet, continuous, rapid ""jacky-jacky-winter-winter-winter"".",
180,Pale-yellow Robin,Tregellasia capita,13,"""cheep""; monotonous whistles.",
180,White-faced Robin,Tregellasia leucops,13,"harsh ""chee-chee""; like Pale-yellow Robin.",
180,White-browed Robin,Poecilodryas superciliosa,15,"loud piping whistle; quieter whistles, harsh ""botta-chew"".",
180,Grey-headed Robin,Poecilodryas albispecularis,17,"piping whistle, often four notes long.",
180,Crested Shrike-tit,Falcunculus frontatus,15-19,"""knock-at-the-door""; repeated plaintive whistle.",
182,Olive Whistler,Pachycephala olivacea,20.5,"various two and three-syllabic whistles; also territorial call ""jo-jo-jo"".",
182,Red-lored Whistler,Pachycephala rufogularis,20.5,"typical call is whistle followed by sound like indrawn breath ""see-saw"".",
182,Gilbert's Whistler,Pachycephala inornata,19.5,"whistle ""poo-ee"" rising at the end. Also repeated ""jock"".",
182,Golden Whistler,Pachycephala pectoralis,17,"melodious, sometimes with whip-crack ending ""wi-wi-wi-whit!"".",
182,Mangrove Golden Whistler,Pachycephala melanura,15.5,like Golden Whistler.,
184,Grey Whistler,Pachycephala simplex,14.5,"'Brown': single note repeated several times; also melodious song. Grey: a whistle ""dum dum dee daa dum"".",
184,Rufous Whistler,Pachycephala rufiventris,17,"ringing, whipcrack-like ""ee-chong!"", also ""joey-joey-joey"" repeated.",
184,White-breasted Whistler,Pachycephala lanioides,19.5,"melodious song, also whistles.",
186,Little Shrike-thrush,Colluricincla megarhyncha,19,"""tu-ee, wot-wot-wot""; also harsh wheeze.",
186,Bower's Shrike-thrush,Colluricincla boweri,20.5,melodious; quieter than other shrike-thrushes.,
186,Sandstone Shrike-thrush,Colluricincla woodwardi,24,"rich, variable song.",
186,Grey Shrike-thrush,Colluricincla harmonica,24,"liquid melodious ""pip-pip-pip-ho-ee!""; harsh ""yorrick"".",
186,Crested Bellbird,Oreooica gutturalis,21.5,"distinctive, ventriloquial.",
188,Yellow-breasted Boatbill,Machaerirhynchus flaviventer,11-12,"soft, like Brown Thornbill ""pee-dee-dee-dee-wit"".",
188,Black-faced Monarch,Monarcha melanopsis,15-20,"whistling ""why-you-whichye-oo""; also creaks, chatters.",
188,Black-winged Monarch,Monarcha frater,18-19,like Black-faced.,means Black-faced Monarch here.
188,Spectacled Monarch,Monarcha trivirgatus,14-16,harsh buzzing.,
188,White-eared Monarch,Monarcha leucotis,13,"like bronze-cuckoo ""thee-out""; also buzzings.",
188,Frilled Monarch,Arses lorealis,14-17,scolding trills; a frog-like squawk.,
188,Pied Monarch,Arses kaupi,14-15,"ten or more soft, high, whistles; a continuous buzzing; a flycatcher ""creak"".",
190,Broad-billed Flycatcher,Myiagra ruficollis,14-17,"harsh ""shwek""; possibly harsher than Leaden and Satin; also repeated loud ""thee-ooo-uu"" and whirrings.",
190,Leaden Flycatcher,Myiagra rubecula,14-17,"harsh rattles and buzzes; deep burp-like notes; whistling ""zoo-wee"".",
190,Satin Flycatcher,Myiagra cyanoleuca,15-18,louder than Leaden; churrings; strong carrying and repeated whistles.,
190,Shining Flycatcher,Myiagra alecto,15-18,a considerable variety of clear whistles; harsh grating calls.,
190,Restless Flycatcher,Myiagra inquieta,16.5-21,"continous whirring hisses whilst hovering; deep gratings; whistling song ""zoo-wee, zoo-wee"".",
192,Rufous Fantail,Rhidipura rudifrons,15-16,"thin, ascending, high-pitched whistles; also a ""chip"".",
192,Grey Fantail,Rhidipura fuliginosa,15-17,"races: alisteri a variety of rich, loud ascending whistling songs, also chattering; albicauda softer; has a more rapid 'trilling' song; phasiana softer; has a series of short twittering whistles.",
192,Northern Fantail,Rhidipura rufiventris,16-18.5,"six-note song like gerygones. Also various ""chip""s, ""chunk""s.",put the plural out of the onomatopoeia here even though it was in quotes
192,Whillie Wagtail,Rhidipura leucophrys,19-21.5,"scolding ""chick-a-chick-a-chick"". A chattering, musical ""sweet, pretty creature"" song.",
194,Logrunner,Orthonyx temminckii,17-20,"rapid, excited ""weet weet"".",
194,Chowchilla,Orthonyx spaldingii,26-28,"very vocal - parties may dominate dawn chorus with loud repeated ""chow-chilla"" - ""chowry chook chook"".",
194,Eastern Whipbird,Psophodes olivaceus,25-30,"loud 'whipcrack' (male); sharp ""choo choo"" (female response). Other harsh scolding notes.","not clear whether ""whipcrack"" is meant to be the words or the sound of a wipcrack; it's in single quotes like the onomatopeia"
194,Western Whipbird,Psophodes nigrogularis,20-25,"variety of harsh, grating calls; some likened to squeaking cartwheel.",
194,Chirruping Wedgebill,Psophodes cristatus,19-21,"""tootsie cheer"" (male); ""ee cheer"" (female response) repeated monotonously with sparrow-like quality.",
194,Chiming Wedgebill,Psophodes occidentalis,19-22,"descending chime ""why did you get drunk?"" repeated monotonously with haunting quality.",
196,Spotted Quail-thrush,Cinclosoma punctatum,25-28,thin high-pitched contact calls (the typical quail-thrush is very difficult to tune the human ear to); also loud double-whistle; occasional richer whistlings.,
196,Chestnut Quail-thrush,Cinclosoma castanotum,"M 22-26, F 17-23","thin, high-pitched. Also rosella-like piping whistle.",
196,Chestnut-breasted Quail-thrush,Cinclosoma castaneothorax,18-24,"thin, high-pitched ventriloquial notes; far-carrying whistles.",
196,Cinnamon Quail-thrush,Cinclosoma cinnamomeum,18-20,not well known.,
198,Grey-crowned Babbler,Pomatostomus temporalis,25-29,"loud ""yahoo""; churring notes; cat-like meowing.",
198,White-browed Babbler,Pomatostomus superciliosus,18-22,"high-pitched chatter; variety of churring, scolding notes.",
198,Hall's Babbler,Pomatostomus halli,23-25,excited high-pitched chatter; other typical babbler calls.,
198,Chestnut-crowned Babbler,Pomatostomus ruficeps,20.5-23,harsh chatter; other whistling calls.,
200,Clamorous Reed-warbler,Acrocephalus stentoreus,17,"clear, sweet ""crut-crut-crut, deet-deet-deet, crotchy-crotchy-crotchy"" with variations and various scolding calls.",
200,Great Reed-warbler,Acrocephalus arundinaceus,19,"like Clamorous but much harsher, faster and lower.",means Clamorous Reed-warbler here
200,Tawny Grassbird,Megalurus timoriensis,19,descending wren-like reels; scolding calls.,
200,Little Grassbird,Megalurus gramineus,14,"distinct ""t-thee-thee"".",not in quotes but meant to be?
200,Spinifexbird,Eremiornis carteri,15,pleasant warble.,
200,Zitting Cisticola,Cisticola juncidus,10,"monotonous insect-like ""tik-tik"" and ""see-sick, see-sick"".",
200,Golden-headed Cisticola,Cisticola exilis,10,"""churr, lik-lik"".",
200,Arctic Warbler,Phylloscopus borealis,12,"distinctive loud ""twzee-et"".",
202,Rufous Songlark,Cinclorhamphus mathewsi,16-19,melodious song (in flight or perched).,
202,Brown Songlark,Cinclorhamphus cruralis,"M 23-25, F 18-23","loud, creaky.",
202,Purpl-crowned Fairy-wren,Malurus coronatus,16.5,high-pitched.,
202,Superb Fairy-wren,Malurus cyaneus,14,musical trill.,
202,Splendid Fairy-wren,Malurus splendens,14,resembles Superb Fairy-wren.,
204,Variegated Fairy-wren,Malurus lamberti,14-15,"like Superb Fairy-wren but faster, far more metallic.",
204,Blue-breasted Fairy-wren,Malurus pulcherrimus,15,like Variegated Fairy-wren.,
204,Red-winged Fairy-wren,Malurus elegans,15,like Variegated Fairy-wren.,
206,White-winged Fairy-wren,Malurus leucopterus,11.5-14.5,"distinctive 'thin' musical trilling, higher than Superb Fairy-wren.",
206,Red-backed Fairy-wren,Malurus melanocephalus,12-13.5,"drawn out, reedy or chattering songs and notes, similar to White-winged.",
206,Rufous-crowned Emu-wren,Stipiturus ruficeps,14-15.2,"high, trilling, rapid; often softer than fairy-wrens.","mentions ""16.5 mallee"" for size as well; subspecies?"
206,Southern Emu-wren,Stipiturus malachrus,17.5-20,"like fairy-wrens, thin, trilling, descending; also soft chirps; short harsh alarm calls.",
208,Black Grasswren,Amytornis housei,21,"wren-like; ticking, grating.",
208,White-throated Grasswren,Amytornis woodwardi,22,rising and falling trills.,
208,Carpentarian Grasswren,Amytornis dorotheae,16-17,cricket-like buzz.,
208,Striated Grasswren,Amytornis striatus,14.5-17.5,thin squeak.,
208,Eyrean Grasswren,Amytornis goyderi,15,faint two-note whistle.,
208,Grey Grasswren,Amytornis barbatus,18-20,"high, twittering; two notes.",
208,Thick-billed Grasswren,Amytornis textilis,15-20,high squeak.,
208,Dusky Grasswren,Amytornis purnelli,16.5-17,shrill alarm.,
210,Eastern Bristlebird,Dasyornis brachypterus,20-22,"loud, penetrating four-part call; harsh, short notes.",
210,Western Bristlebird,Dasyornis longirostris,17-20,"five-part call, probably male only; three-part call, probably female only. Also ""tink"". Also short, harsh notes.",
210,Rufous Bristlebird,Dasyornis broadbenti,23-27,"penetrating, repetitive call and squeaking variations; also short, sharp ""tik"".",
210,Pilotbird,Pycnoptilus floccosus,16.5-17,"sweet, penetrating ""a-guinea-a-week"" (male); less distinct call (female).",
210,Origma,Origma solitaria,14,"shrill, melancholy, repeated ""good-bye""; staccato, softer and rasping notes.",
210,Australian Fernwren,Crateroscelis gutturalis,12-14,a scolding note; high-pitched squeaks; strong whistling; chattering.,
212,Atherton Scrubwren,Sericornis keri,13.5,scolding call.,
212,Large-billed Scrubwren,Sericornis magnirostris,12-13,"soft twitterings, scolding notes and repeated ""s-cheer"".",
212,Yellow-throated Scrubwren,Sericornis citreogularis,12.5-15,"clear, melodious and mimicry; harsh chatter.",
212,Tropical Scrubwren,Sericornis beccarii,11-11.5,"soft, musical warble; harsher notes.",
212,White-browed Scrubwren,Sericornis frontalis,11-14,"repeated ""ts-cheer""; harsh scolding notes.",
212,Scrubtit,Sericornis magnus,11-11.5,"""too-whe-too"", like White-browed Scrubwren (race humilis) and Brown Thornbill. Also whistling.",
214,Chestnut-rumped Hylacola,Sericornis pyrrhopygius,13-14,"varied, lengthy, canary-like song interwoven with mimicry; also a harsh ""chip"".",
214,Shy Hylacola,Sericornis cautus,12-14,"strong song but less mimicry and vocal range than Chestnut-rumped Hylacola. Also sharp, harsh notes.",
214,Redthroat,Sericornis brunneus,11.5-12,rich and varied like Clamorous Reed-Warbler but softer. An accomplished mimic; female less so.,
214,Striated Calamanthus,Sericornis fuliginosus,12-14,"sharp, musical, lengthy, twittering song.",
214,Speckled Warbler,Sericornis sagittatus,11.5-12.5,"soft, musical, variable song; a harsh grating twitter; mimicry.",
216,Weebill,Smicrornis brevirostris,8-9,"clear, high, sharp, repeated ""tiz"".",
216,Brown Gerygone,Gerygone mouki,9.5-10,"weak, repetitious.",
216,Large-billed Gerygone,Gerygone magnirostris,10.5-11.5,downward song.,
216,Dusky Gerygone,Gerygone tenebrosa,11.5,"plaintive, downward.",
216,Mangrove Gerygone,Gerygone laevigaster,11,sustained warble.,
216,Western Gerygone,Gerygone fusca,11-1.5,"clear rising, falling.",
216,Green-backed Gerygone,Gerygone chloronota,10,similar to but lighter than Western Gerygone.,
216,Fairy Gerygone,Gerygone palpebrosa,10-11.5,long warble.,
216,White-throated Gerygone,Gerygone olivacea,10,downward.,
218,Mountain Thornbill,Acanthiza katherina,10,not recorded.,
218,Brown Thornbill,Acanthiza pusilla,10,"short, pleasant warble; harsh alarm call.",
218,Inland Thornbill,Acanthiza apicalis,10,like Brown Thornbill.,
218,Tasmanian Thornbill,Acanthiza ewingii,10,"like Brown Thornbill, except in breeding season.",
218,Chestnut-rumped Thornbill,Acanthiza uropygialis,10,"short, melodious song; also penetrating ""seee-tit-tit-seee"".",
218,Slaty-backed Thornbill,Acanthiza robustirostris,9-9.5,"""seep-seec""; also harsh ""treeit"".",
218,Western Thornbill,Acanthiza inornata,10,soft twittering; good mimic.,
220,Buff-rumped Thornbill,Acanthiza reguloides,11,metallic warble.,
220,Slender-billed Thornbill,Acanthiza iredalei,9,musical twitter in flight.,
220,Yellow-rumped Thornbill,Acanthiza chrysorrhoa,10-12,tinkling.,
220,Yellow (Little) Thornbill,Acanthiza nana,10,"persistent ""tizz tizz"".",
220,Striated Thornbill,Acanthiza lineata,10,"like Yellow Thornbill, but softer.",
220,Southern Whiteface,Aphelocephala leucopsis,10,"tinkling, wistful.",
220,Chestnut-breasted Whiteface,Aphelocephala pectoralis,10,plaintive bell-like tinkle.,
220,Banded Whiteface,Aphelocephala nigricincta,10,"musical, but weaker than Southern Whiteface.",
222,Varied Sittella,Daphoenositta chrysoptera,10-11,"incessant ""chip""; upward inflected whistles.",
222,White-throated Treecreeper,Cormobates leucophaea,13-15,repeated piping note; tremulous calls.,
222,Red-browed Treecreeper,Climacteris erythrops,15,"descending chatter, often answered with two sharp notes.",
222,White-browed Treecreeper,Climacteris affinis,14,"weak, insect-like notes and song.",
222,Brown Treecreeper,Climacteris picumnus,16-18,"staccato notes, harsh rattle; chuckling songs.",
222,Rufous Treecreeper,Climacteris rufa,15-17,like Brown Treecreeper but higher-pitched.,
222,Black-tailed Treecreeper,Climacteris melanura,17-19,piping notes like White-throated Treecreeper; song like Brown Treecreeper.,
224,Red Wattlebird,Anthochaera carunculata,31-39,"raucous, harsh, *tobacco box, tobacco box* and ""chokk"".",
224,Yellow Wattblebird,Anthochaera paradoxa,38-48,"raucous croaks, ""kuk"", ""kukuk"".",
224,Little Wattblebird,Anthochaera lunulata,26-33,"harsh cackles, ""cockay cock"", ""quok"".",
224,Spiny-cheeked Honeyeater,Acanthagenys rufogularis,22-27,"strong melodious warble, not unlike butcherbird; also short ""tock"".",
224,Striped Honeyeater,Plectorhyncha lanceolata,20-23,"melodious ""cherr-cherr-cherry-cherry"".",
226,Helmeted Friarbird,Philemon buceroides,30-37,"harsh, metallic whistles or cackles; ""poor devil, poor devil""; ""wach-a-wehre"".",
226,Silver-crowned Friarbird,Philemon argenticeps,27-32,"like Helmeted but softer; also ""more tobacco, uh-more tobacco-uh"".",
226,Noisy Friarbird,Philemon corniculatus,31-36,"loud, raucous ""four-o-clock"", ""chokk chokk""; other squawks.",
226,Little Friarbird,Philemon citreogularis,25-29,"raucous; ""arr-koo""; ""rockety krook-shank"".",
226,Regent Honeyeater,Xanthomyza phrygia,20-23,"bell-like ""tinck tinck-tinck"".",
228,Blue-faced Honeyeater,Entomyzon cyanotis,25-32,"loud ""ki-owt"".",
228,Bell Miner,Manorina melanophrys,17-20,"bell-like ""tink-tink"".",
228,Noisy Miner,Manorina melanocephala,24-28,"harsh calls and piping ""pwee-pwee-pwee"".",
228,Yellow-throated Miner,Manorina flavigula,23-28,similar to Noisy Miner.,
228,Black-eared Miner,Manorina melanotis,24-27,similar to Noisy Miner.,
228,Macleay's Honeyeater,Xanthotis macleayana,18-21,"musical *to wit, too weeee twit*.",
228,Tawny-breasted Honeyeater,Xanthotis flaviventer,18-22,noisy whistles.,
230,Lewin's Honeyeater,Meliphaga lewinii,18-22,loud staccato chatter.,
230,Yellow-spotted Honeyeater,Meliphaga notata,16-19,"piercing ""ee yeu"", ""tchu-chua"".",
230,Graceful Honeyeater,Meliphaga gracilis,14-17,"""plik"".",
230,White-lined Honeyeater,Meliphaga albilineata,17-20,"loud ""tu-wheer, tuwhit"".",
230,Eungella Honeyeater,Lichenostomus hindwoodi,16-18,"laughing whistle; a recorded call is ""pee pee pip-pip-pip-pip-pip-pip"", slower at end.",
230,Yellow-faced Honeyeater,Lichenostomus chrysops,15-18,"""chick-up"".",
230,Bridled Honeyeater,Lichenostomus frenatus,18-22,"loud ""we-arr"", ""wachita"".",
232,White-gaped Honeyeater,Lichenostomus unicolor,18-22,"variable loud ""whit-o-weee"".",
232,Yellow Honeyeater,Lichenostomus flavus,16-19,"varied loud whistles ""wheee-a"".",
232,White-eared Honeyeater,Lichenostomus leucotis,18-22,"loud ""chock up, chock up"" and other softer calls.",
232,Yellow-throated Honeyeater,Lichenostomus flavicolis,18-22,"loud ""tonk, tonk"" often repeated; also ""pick-em-up"".",
232,Yellow-tufted Honeyeater,Lichenostomus melanops,17-23,NA,
234,Purple-gaped Honeyeater,Lichenostomus craitius,16-20,harsh chattering.,
234,Grey-headed Honeyeater,Lichenostomus keartlandi,15-17,"loud ""chee toyt"" repeated.",
234,Yellow-plumed Honeyeater,Lichenostomus ornatus,15-18,"loud ""chick-owee"", ""chikwididee"".",
234,Grey-fronted Honeyeater,Lichenostomus plumulus,15-17,NA,
234,Fuscous Honeyeater,Lichenostomus fuscus,14-17,"loud ""arig rig-a-taw-taw"".",
234,Yellow-inted Honeyeater,Lichenostomus flavescens,14-17,"""chee-uck-ooo-wee""; ""porra-chu-porra-cheu-cheu-cheu"".",
234,White-plumed Honeyeater,Lichenostomus penicillatus,15-19,"""chick-owee""; ""chick-abiddy"".",
236,Black-chinned Honeyeater,Melithreptus gularis,15-17,loud churring.,
236,Strong-billed Honeyeater,Melithreptus validirostris,15-17,"loud ""cheep"".",
236,Brown-headed Honeyeater,Melithreptus brevirostris,13-15,"""chick""; ""breeet, breet"".",
236,White-throated Honeyeater,Melithreptus albogularis,13-15,"""tserp-tserp""; ""pi-pi-pi...""",
236,White-naped Honeyeater,Melithreptus lunatus,13-15,"""mjerp, mjerp"".",
236,Black-headed Honeyeater,Melithreptus affinis,13-15,sharp whistle.,
236,Green-backed Honeyeater,Glycichaera fallax,11-12,NA,
238,Brown Honeyeater,Lichmera indistincta,12-16,loud penetrating call.,
238,White-streaked Honeyeater,Trichodere cockerelli,15-19,like Brown.,means Brown Honeyeater here
238,Tawny-crowned Honeyeater,Phylidonyris melanops,15-18,"musical, flute-like.",
238,Crescent Honeyeater,Phylidonyris pyrrhoptera,14-17,"loud ""egypt"" and melodic song.",
238,New Holland Honeyeater,Phylidonyris novaehollandiae,16-19,NA,
238,White-cheeked Honeyeater,Phylidonyris nigra,16-19,NA,
238,White-fronted Honeyeater,Phylidonyris albifrons,16-18,melodic eerie song.,
240,Painted Honeyeater,Grantiella picta,15-17,NA,
240,Brown-backed Honeyeater,Ramsayornis modestus,11-12,chattering song.,
240,Bar-breasted Honeyeater,Ramsayornis fasciatus,12-15,chattering song.,
240,Rufous-banded Honeyeater,Conopophila albogularis,11-13,musical twitter.,
240,Rufous-throated Honeyeater,Conopophila rufogularis,11-15,rasping chatter.,
240,Grey Honeyeater,Conopophila whitei,10-12,NA,
240,Eastern Spinebill,Acanthorhynchus tenuirostris,13-16,rapid piping.,
240,Wester Spinebill,Acanthorhynchus superciliosus,13-16,"shrill ""kleet-kleet"".",
242,Banded Honeyeater,Certhionyx pectoralis,11-14,tinkling twitter.,
242,Black Honeyeater,Certhionyx niger,10-12,"feeble ""peeee"".",
242,Pied Honeyeater,Certhionyx variegatus,15-18,"""tee-titee-tee-tee"".",
242,Dusky Honeyeater,Myzomela obscura,12-14,"""chirp chirp chirp""; trills and ""tip-tip-eeee-chip"".",
242,Red-headed Honeyeater,Myzomela erythrocephala,11-13,harsh whistles.,
242,Scarlet Honeyeater,Myzomela sanguinolenta,10-11,"tinkling bell-like ""clink-clink-clink"".",
244,Crimson Chat,Ephthianura tricolor,10-12,"high ""see-ee-ee""; melodious whistle; short harsh metallic notes.",
244,Orange Chat,Ephthianura aurifrons,10-12,"metallic ""tang""; ""cheep-cheep"" in flight.",
244,Yellow Chat,Ephthianura crocea,10.5-12,"metallic ""tang""; cricket-like note; musical ""pee-eeep"".",
244,White-fronted Chat,Ephthianura albifrons,11-12.5,"repeated, soft, finch-like ""tang"".",
244,Gibberbird,Ashbyia lovensis,12-13,"""wheet-wheet-wheet"" in flight; musical chatter; alarm of 5-6 piercing notes.",
246,Yellow-bellied Sunbird,Nectarinia jugularis,10-12,"high-pitched ""dzit-dzit""; hissing whistle; trill.",
246,Mistletoebird,Dicaeum hirundinaceum,10-11,high-pitched double note; also warble.,
246,Spotted Pardalote,Pardalotus punctatus,8-9.5,loud or soft double notes.,
246,Yellow-rumped Pardalote,Pardalotus xanthopygus,9-10,same as Spotted.,means Spotted Pardalote here
246,Fort-spotted Pardalote,Pardalotus quadragintus,9-10,soft double note; also repeated single note (hollow and faint).,
246,Red-browed Pardalote,Pardalotus rubricatus,10-11,"five notes, increasing in pitch and speed.",
246,Striated Pardalote,Pardalotus striatus,9-11.5,loud double or triple notes.,
248,Pale White-eye,Zosterops citrinella,12,not recorded.,
248,Yellow White-eye,Zosterops lutea,10.5,"rapid, loud warbling song.",
248,Silvereye,Zosterops lateralis,12,"repeated high-pitched ""tee-oow""; pleasant warbling song.",
250,European Goldfinch,Carduelis carduelis,13,"liquid ""tu-leep"", ""tsi-i-it""; liquid twittering song.",
250,European Greenfinch,Carduelis chloris,15,"""chip-chip-chip""; nasal ""twe-e-ee""; song is trill followed by ascending ""zeep"".",
250,House Sparrow,Passer domesticus,15,"harsh *cheer-up*, and chattering song.",
250,Tree Sparrow,Passer montanus,14,"soft ""tek"", and twittering song.",
250,White-winged Wyda,Euplectes albonotatus,15-18,"""cheee-eee"".",
250,Red Bishop,Euplectes orix,11,"""zik zik zik"", and others.",
252,Red-browed Firetail,Neochmia temporalis,11-12,"high-pitched, almost inaudible, piercing ""seee"".",
252,Beautiful Firetail,Stagonopleura bellum,11-12,"mournful, floating whistle; song unknown.",
252,Red-eared Firetail,Stagonopleura oculata,11.5-12,"piercing, floating, single note ""oooee"".",
252,Painted Firetail,Emblema pictum,10-12,"loud, harsh ""trut"".",
252,Diamond Firetail,Stagonopleura guttata,12,"two-syllable plaintive whistle descends, then ascends.",
252,Star Finch,Neochmia ruficauda,10-12,"loud penetrating ""sseet"".",
252,Crimson Finch,Neochmia phaeton,12-14,"piercing ""che-che-che"".",
254,Zebra Finch,Taeniopygia guttata,10,"nasal twang ""tiaah""; soft rhythmic song.",
254,Double-barred Finch,Taeniopygia bichenovii,10-11,"high pitched, floating, nasal ""tiaah"".",
254,Masked Finch,Poephila personata,12-13.5,"long, nasal ""tiat""; soft ""tet""; soft, mechanical song.",
254,Long-tailed Finch,Poephila acuticauda,15-16.5,"soft ""tet"", and loud, long pure whistle; soft musical song.",
254,Black-throated Finch,Poephila cincta,10,"hoarse floating whistle; soft ""tet""; very soft musical song.",
254,Plum-headed Finch,Neohmia modesta,11-12.5,"long, drawn out ""ting"".",
256,Pictorella Mannikin,Heteromunia pectoralis,11,"loud ""teet"".",
256,Chestnust-breasted Mannikin,Lonchura castaneothorax,10,"bell-like ""teet"".",
256,Yellow-rumped Mannikin,Lonchura flaviprymna,10,"bell-like ""teet"".",
256,Black-headed Mannikin,Lonchura malacca,11,"shrill ""peep-peep"".",
256,Nutmeg Mannikin,Lonchura punctulata,11,"""ki-ki-te-te"".",
256,Blue-faced Finch,Erythrura trichroa,12,"high-pitched ""tseet-tseet"".",
256,Gouldian Finch,Erythrura gouldiae,14,"""ssitt"".",
258,Metallic Starling,Aplonis metallica,21-24,"harsh, chattering, wheezing.",
258,Common Starling,Sturnus vulgaris,20-22,"chattering twitters, whistles; mimicry.",
258,Common Mynah,Acridotheres tristis,23-25,"varied, noisy.",
258,Yellow Oriole,Oriolus flavocinctus,25-0,melodious roll of repeated notes; ventriloquial.,
258,Olive-backed Oriole,Oriolus sagittatus,25-28,"rolling ""orry-orry-ole""; ventriloquial.",
258,Figbird,Sphecotheres viridis,27-29.5,soft musical; short sharp yelp.,
258,Spangled Drongo,Dicrurus bracteatus,"M 30-32, F 28-30","varied: rasping, hissing, crackling. Very vocal.",
260,Golden Bowerbird,Prionodura newtoniana,23-25,"rattles, croaks, mimicry.",
260,Satin Bowerbird,Ptilonorhynchus violaceus,27-33,"two-note whistle, hissing, buzzing, mimicry.",
260,Regent Bowerbird,Sericulus chrysocephalus,24-28,"infrequent; scolds, chatterings, mimicry.",
260,Spotted Bowerbird,Chlamydera maculata,25-31,"harsh grating hissings; mechanical sounds, mimicry.",
260,Great Bowerbird,Chlamydera nuchalis,32-37.5,like Spotted Bowerbird.,
260,Fawn-breasted Bowerbird,Chlamydera cerviniventris,25-30.5,like other Chlamydera.,reference to class of birds!
262,Tooth-billed Bowerbird,Scenopoeetes dentirostris,24-27,"over display court: strong varied, predominantly bird mimicry and ""chuck"", otherwise silent save harsh flight alarm.",
262,Spotted Catbird,Ailuroedus melanotis,26-30,"cat-like wailings; single or double high-pitched ""chip"" or ""tick"".",
262,Green Cabird,Ailuroedus crassirostris,28-33,like Spotted Catbird.,
262,Paradise Riflebird,Ptiloris paradiseus,25-30,"double, sometimes single explosive ""yaas"".",
262,Victoria's Riflebird,Ptiloris victoriae,23-25,"single or explosive ""yaas"".",
262,Magnificent Riflebird,Ptiloris magnificus,"M 28-33, F 26-28","clear loud whistle ""wheew-whit"".",
262,Trumped Manucode,Manucodia keraudrenii,27-32,"powerful, long, trumpet-like blast.",
264,White-winged Chough,Corcorax melanorhamphos,45,descending whistles; harsh gratings.,
264,Apostlebird,Struthidea cinerea,29-32,harsh chattering.,
264,Australian Magpie-lark,Grallina cyanoleuca,27,"""pee-wee""; also ""pee-o-wit"".",
264,White-breasted Woodswallow,Artamus leucorhynchus,17,"""pert, pert""; chattering.",
264,Masked Woodswallow,Artamus personatus,19,"""chap, chap""; chattering.",
264,White-browed Woodswallow,Artamus superciliosus,19,like Masked Woodswallow.,
264,Black-faced Woodswallow,Artamus cinereus,18,"""chep, chep""; chattering.",
264,Dusky Woodswallow,Artamus cyanopterus,18,"""vut, vut""; chattering.",
264,Little Woodswallow,Artamus minor,12,"""peat-peat""; chattering.",
266,Black Butcherbird,Cracticus quoyi,32-45,"musical, yodelling call.",
266,Grey Butcherbird,Cracticus torquatus,24-30,rich melodious piping.,
266,Black-backed Butcherbird,Cracticus mentalis,25-28,melodic song but weaker than Grey.,means Grey Butcherbird here
266,Pied Butcherbird,Cracticus nigrogularis,32,beautiful flute-like song.,
266,Australian Magpie,Gymnorhina tibicen,36-44,familiar flute-like carolling.,
