Page,Family,EnglishCommon,LatinSpecies,Length,Voice,Notes
108,"Dowitchers, Godwits",Black-tailed Godwit,Limosa limosa,36-44cm,"quite vocal with a tuneful song at its norther-hemisphere breeding grounds, but gives only contact and alarm calls in Aust. Some soft chattering sounds when feeding and some calling from flocks when flushed. Sounds recorded include sharp ""witta-wit"", a rather harsh, strident ""ieka-wiek-wieka"", and soft ""kek"" or ""kuk"".",
108,"Dowitchers, Godwits",Hudsonian Godwit,Limosa haemastica,38-41cm,"usually silent aay from the N American breeding grounds except for the alarm call, a sharp ""weit-weit-weit"", higher pitched than call of the Bar-tailed Godwit.",
110,Curlews,Little Curlew,Numenius minutus,30-36cm,"usually three notes in flight  --  sharp, rising ""kee-kee-kee"", like, but without the clarity of, the Greenshank's call. In alarm, husky, high ""tchiew-tchiew-tchiew"" and rasping ""kwiekkek"".",
110,Curlews,Whimbrel,Numenius phaeopus,39-44cm,"in Aust. the distinctive call is a rather musical, even pitched ""ti-ti-ti-"", but so rapid that the notes run together in almost unbroken tittering, ""ti-tititititititi…"", usually given in flight. Also a high, clear ""keer-keer-keer"" and slow, tremulous ""ke-ee-r"".",
110,Curlews,Eastern Curlew,Numenius madagascariensis,60-65cm,"beautiful, haunting, melancholic yet melodious sound used as contact call, given in flight or from ground; a high, drawn out, two-part call, the second lifting higher, attenuated, ""coor-lee"" or ""cur-eek""; also a rapid, softer, melodious ""curee-cree-cureecuree"", and a more strident version as alarm.",
110,Curlews,Eurasian Curlew,Numenius arquata,50-60cm,"loud, carrying, ringing ""cour-liu, cour-liu, and, in alarm, ""tiu-yiu-yiu-yiu-yiu"".",
112,"Redshanks, Yellowlegs",Spotted Redshank,Tringa erythropus,29-32cm,"distinctive, flute-like ""tchuet"".",
112,"Redshanks, Yellowlegs",Common Redshank,Tringa totanus,27-29cm,"noisy any time of year. In flight, usually two rapid, high, ringing notes, a third extremely abrupt: ""kierkier-kp, kier-kier-kp, kier-kir-kp"", the three-note sequence repeated several times. Alarm call on the ground is a piercing ""kieer"".",
112,"Redshanks, Yellowlegs",Lesser Yellowlegs,Tringa flavipes,23-25cm,"usual flight call a whistled ""tiew-tiew-""; the ""ti-"" lifting, the final ""ew"" dropping in pitch; louder in alarm. On ground, loud ""tiew"", each note of long series accompanied by bobbing of head and tail.",
112,"Redshanks, Yellowlegs",Greater Yellowlegs,Tringa melanoleuca,29-33cm,"almost identical to Greenshank, perhaps higher pitched and faster, a ver rapid ""kier-kier-kier, kier-ker-kier-kier-"".",
114,"Greenshanks, Upland Sandpiper",Common Greenshank,Tringa nebularia,30-35cm,"the loud, ringing alarm call is one of the most familiar sounds in wader habitat  --  a clear, very rapid ""tiew-tiew-iew"" with a slight drop in pitch on the last note, typically given as three quick, evenly spaced notes that together occupy less than a second. Notes in a series may range from 1 to 6 with a pause of 1 sec before the next set.",
114,"Greenshanks, Upland Sandpiper",Nordmann's Greenshank,Tringa guttifer,30-33cm,"distinctly different from the Common Greenshank; a less musical, loud, sharp, piercing ""kiyiew"".",
114,"Greenshanks, Upland Sandpiper",Marsh Sandpiper,Tringa stagnatilis,22-26cm,"usual call a quick, soft, mellow, musical ""kier"" or ""teoo""; alarmed, excited or put to flight, gives short, very high, thin, rather metallic and rapid ""kier, kier-kp, kier-kp, kier-kier"", becoming a confused mass of chittering from even small flocks.",
114,"Greenshanks, Upland Sandpiper",Upland Sandpiper,Bartramia longicauda,26-28cm,"wide variety of sounds  --  flight call a piping ""quip-eip-eip"", and lower, liquid ""pull-ip"" or ""quie-lip"".",
116,Sandpipers,Wood Sandpiper,Tringa Glareola,20-22cm,"sharp, high, piercing, rapid ""chi-chi-chip"", ""chi-chi-chi-chip"", the last ""chip"" slighly lower, abrupt.",
116,Sandpipers,Terek Sandpiper,Tringa (Xenus) cinereus,22-24cm,"alarm call a musical ""pee-peeweer, peeweer, peewit"" or alternatively ""teeu-duey, duey, wi-wi-wi-yu"". Probably remembered more for the pleasant, et haunting, flute-like quality rather than the precise pattern of notes.",
116,Sandpipers,Common Sandpiper,Tringa (Actitis) hypoleucos,19-21cm,"in flight, fine squeaks, very abrupt, penetrating; may be given as two rapid squeaks, the second fractionally lower, ""tsie-tsiep"", or as a longer series  --  four, six, or perhaps more, at six or so per second at even, high pitch, but drops slightly in the last note or two, ""tsie-tsie-tsie-tsie-tsiep-tsiep"".",
116,Sandpipers,Green Sandpiper,Tringa ochropus,21-24cm,"a sharp, ringing ""tlee-it-wit-wit"", usually on being put to flight.",
116,Sandpipers,Buff-breasted Sandpiper,Tryngites subruficollis,18-21cm,"usually silent; flight call a soft ""tchu"", or ""prreei-t"".",
118,"Sandpipers, Ruff",Sharp-tailed Sandpiper,Calidris acuminata,17-22cm,"when flushed, a quick ""pliep""; also rapid, high, scratchy, squeaky trills like the highest of the fairy-wren trills; chatterings with intermixed soft, low and very high, squeaky sounds like Welcome Swallow's chatter.",
118,"Sandpipers, Ruff",Pectoral Sandpiper,Calidris melanotos,18-24cm,"when flushed, repeated loud, harsh ""tirrit"" or ""prrip"".",
118,"Sandpipers, Ruff",Curlew Sandpiper,Calidris ferruginea,18-23cm,"contact call, repeated at intevals of about 1 sec, a mellow, rippling ""chirrip, chirrip, chirrup"" like some Budgerigar calls; given by flock becomes a pleasant confusion of twitterlings.",
118,"Sandpipers, Ruff",Stilt Sandpiper,Micropalama himantopus,19-23cm,"flight call a soft, rather rattling, trilled ""kirrt"" and clearer ""whiuw"".",
118,"Sandpipers, Ruff",Ruff,Philomachus pugnax,male 26-32cm; female 20-25cm,"usually silent, or low grunts.",
120,"Knots, Tattlers",Red Knot,Calidris canutus,23-25cm,"soft calls from feeding flocks  --  low, throaty, harsh ""knut"" or ""knot""; from flocks on migration, ""nyup-nyup"" sounds. In alarm, whistled ""quik-ick"", ""twit-wit"" or ""twit-twit-twit"".",
120,"Knots, Tattlers",Great Knot,Calidris tenuirostris,26-28cm,"usually silent, but has a rapid, mellow, hollow ""krok-kok"" or ""knut-nut""; the first note longer, rising, the second abrupt, slightly lower. Taken up by a flock, becomes a continuous, rapid babble of ""krok-knut-kok-nut-nok"" sounds.",
120,"Knots, Tattlers",Wandering Tattler,Heteroscelus incanus,26-28cm,"flight call a sharp rippling trill of 5 to 10 piercing notes lasting 0.5-1 sec, evenly pitched, accelerating but fading slightly in strength. Also a flute-like alarm call of just one or two notes.",
120,"Knots, Tattlers",Grey-tailed Tattler,Heteroscelus brevipes,24-27cm,"flight call is distinctive  --  fluid, musical, but slightly mournful, drawn out ""too-weet"", initially falling in pitch, then rising sharply in the final ""eet"". Also as a rapid sequence, slightly shrper, rising in pitch and accelerating ""weit-weit-weet-weet-weetweetweet"".",
122,"Sanderling, Stints, Sandpiper",Sanderling,Calidris alba,19-20cm,"in flight, a sharp, quick, liquid ""tlick-tlick""; also a very soft twittering within flocks.",
122,"Sanderling, Stints, Sandpiper",Red-necked Stint,Calidris ruficollis,13-16cm,"a fast, extremely high, disyllabic ""chirit"" or ""chrit"", often so abrupt, a fraction of a second, that it sounds more like a single ""chit"" or ""prip"".",
122,"Sanderling, Stints, Sandpiper",Little Stint,Calidris minuta,12-14cm,"extremely high, quick ""chit"" or ""stit"", more abrupt, higher than the ""chrit"" of the Red-necked; also a quieter, high ""tsee-tse"".",
122,"Sanderling, Stints, Sandpiper",Long-toed Stint,Calidris subminuta,13-15cm,"a trilled ""chirrip"", so quick that the sound is more like ""trrp"", ""prrp"" or ""chrrp""; slightly lower, less metallic than other stints.",
122,"Sanderling, Stints, Sandpiper",Temminck's Stint,Calidris temminckii,13-15cm,"a distinctive, high-pitched, thin, cricket-like trilling, ""tirr-r"" and ""trrr-it""; as flight call, ""tir-ir-ir-irir"". Also has a display song, not likely to be given in Aust.",
122,"Sanderling, Stints, Sandpiper",Western Sandpiper,Calidris mauri,15-17cm,"a thin, sharp ""jeet"" or ""cheit"".",
124,Sandpipers,Dunlin,Calidris alpina,16-22cm,"flight call a harsh, reedy or buzzing ""chzee"", ""chzeep"", ""trzeep"" and ""treep"", higher than call of Curlew Sandpiper. While feeding or roosting in flocks, birds make faint, soft titterings.",
124,Sandpipers,Broad-billed Sandpiper,Limicola falcinellus,16-18cm,"flight call a high, buzzing ""chzeeip"" and an abrupt ""tzit"".",
124,Sandpipers,White-rumped Sandpiper,Calidris fuscicollis,15-17cm,"the flight call is a high, thin squeak, more like that of a bat, but with a slight vibrant quality, ""tzreit"", also described as ""jeeet"" or ""eeet"".",
124,Sandpipers,Baird's Sandpiper,Calidris bairdii,14-16cm,"flight call rather low pitched with touch of harshness, a rolling trill, ""prreet"" or ""kyrrrp""; also a sharp ""tsek"".",
124,Sandpipers,Cox's Sandpiper,Calidris paramelanotos,19cm,"like Pectoral, but higher, shriller ""trilt"".",
126,"Phalaropes, Jacanas",Red-necked Phalarope,Phalaropus lobatus,18-19cm,"in flight, soft ""chek"" and ""chwik"".",
126,"Phalaropes, Jacanas",Wilson's Phalarope,Steganopus tricolor,22-24cm,"usually silent, occasionally a soft, nasal, grunted ""aangh"".",
126,"Phalaropes, Jacanas",Grey Phalarope,Phalaropus fulicaria,20-22cm,"usually quiet, but, as flight and contact call, a sharp ""whit"" or ""twit"". In alarm, a more musical ""zhwhit"".",
126,"Phalaropes, Jacanas",Comb-crested Jacana,Metopidius (Irediparra) gallinacea,20-27cm,"not noisy in frequency or loudness, but calls quite often and regularly with diverse sounds that habe been grouped into two broad groups. The first group is a regularly repeated series of notes typically given in confrontatation with other Jacanas; the second is of twittering, chittering, piping notes, usually given while in flight or standing tall in upright, alert pose. Squences may blend from one to the other. Also has a sharp, nasal alarm call.",
126,"Phalaropes, Jacanas",Pheasant-tailed Jacana,Hydrophasianus chirurgus,30-40cm,NA,
128,"Stone-Curlews, Stilts, Avocet",Bush Stone-curlew,Burhinus grallarus,55-60cm,"clls are eerie, a drawn out, mournful  --  ""wee-ier, wee-ieer, whee-ieeer, whee-ieer-loo"". Each call rises, strengthening, faster, building to a climax, then trails away. Calls are often, probably typically, given by several birds. One starts, another joins in; calls overlap, building the intensity of sound. Sometimes other groups will join in or answer from afar. At night, these spine-tingling souds will carry far across lonely bush and paddocks.",
128,"Stone-Curlews, Stilts, Avocet",Beach Stone-curlew,Esacus neglectus,54-56cm,"as alarm call, a quick ""chwip"" repeated at intervals of 1 sec, perhaps also as ""chwip-chwip"". Territorial calls are given at night like those of the Bush Stone-curlew, but harsher and at higher pitch, a ""weer-liew"" repeated about eight times, each higher and faster.",
128,"Stone-Curlews, Stilts, Avocet",Banded Stilt,Cladorhynchus leucocephalus,35-43cm,"a regular high, nasal, yapping with slight variations of pitch and strength, like a toy trumpet, ""ap, ak, ap-ap, ak, ap, ap, ak-ap""; higher pitch and more nasal than the mellow notes of the Banded Stilt; slight variations from individuals of group.",
128,"Stone-Curlews, Stilts, Avocet",Black-winged Stilt,Himantopus himantopus,33-37cm," regular high, nasal, yapping with slight variations of pitch and strength, like a toy trumpet, ""ap, ak, ap-ap, ak, ap, ap, ak-ap""; higher pitch and more nasal than the mellow notes of the Banded Stilt; slight variations from individuals of group.",
128,"Stone-Curlews, Stilts, Avocet",Red-necked Avocet,Recurvirostra novaehollandiae,40-48cm,"often silent usually calls when disturbed  --  a yapping similar to that of the Black-winged Stilt, but less abrupt, higher and more metallic or nasal, ""aik, airk airk, airk, aik, aik"" with slight variations of pitch, strength and length of notes. Probably more variety from a group of birds than from one.",
130,"Pratincoles, Oystercatchers",Australian Pratincole,Stiltia isabella,22-24cm,"undulating, pleasant, cheery whistle as flight call, a varied ""whit-WEIT"", ""WEET-whit-whitwhit"" and ""wirr-ie-WEIT""; as alarm calls, similar but sharp, urgent, loud. Flying birds' calls attract attention before they are seen; calls in thunderstorms.",
130,"Pratincoles, Oystercatchers",Oriental Pratincole,Glareola maldivarum,23-24cm,"compared with Australian Pratincole, a rather rough, but not unpleasant, ""chak-a-chak""; started by one or a few birds, taken up by flock. With sharper ""cha-rik"" or ""krik"" sounds intermixed, becomes an almost continuous confusion of ""char-rakichikiakak…"" noise.",
130,"Pratincoles, Oystercatchers",Pied Oystercatcher,Haematopus longirostris,42-50cm,"high, not harsh or sharp, but a ringing, melow, resonant, ""quip-quip-quip-quip-quip"", very even in pitch. In flight, ""quip-a-peep, quipapeep, quipapeep"". In alarm, loud, sharp, high pitched ""kervee-curvee-curvee"", increasing in pitch and rapidity as the nest is approached; lures intruders away with distraction display, pretending its wing is broken.",
130,"Pratincoles, Oystercatchers",Sooty Oystercatcher,Haematopus fuliginosus,40-52cm,"hgh, clear, piping calls; sharper, more piercing and quicker than the Pied; usually ""kier-kier-kier-kier-kier…"". May develop into a double noted ""kwi-keer, swikeer, kwikeer""; again sharper than similar calls of the Pieed Oystercatcher. Often given in flight. Also gives loud whistling calls before taking flight, and piercing calls if an intruder approaches nest.",
132,"Golden Plovers, Grey Plover",Pacific Golden Plover,Pluvialis fulva,24-26cm,"usually silent on ground; calls in alarm, at take off, in flight and when landing. In flight a high, clear, musical ""tiu-ee"" or ""tchu-eet"", the second note higher. Similar calls, more subdued, when feeding or resting birds are put to flight and on coming in to land. In alarm, calls are more urgent, sharper.",
132,"Golden Plovers, Grey Plover",American Golden Plover,Pluvialis dominica,24-28cm,"similar to that of Pacific Golden Plover  --  loud, clear, quick, double noted call lifting to a higher second note: ""keer-eet, keer-eet"" or ""tiu-eet"". Call changes when birds are put to flight and become much sharper, more urgent in alarm.",
132,"Golden Plovers, Grey Plover",Eurasian Golden Plover,Pluvialis apricaria,26-28cm,"use of calls may differ in Aust. If species does occur; a clear, liquid or yodelled flight call, ""tloo-ee""; clear and loud enough to be heard before the bird is seen.",
132,"Golden Plovers, Grey Plover",Grey Plover,Pluvialis squatarola,28-30cm; span 64-71cm,"flocks often silent; may flush without calling; distinctive flight call  --  loud, triple noted whistle, plaintive, undulating ""whee-oo-eeir, whie-oo-eeir"", rather like beginning of Bush Stone-Curlew's call. Can sound agitated, giving similar call more rapidly.",
134,Small Plovers,Ringed Plover,Charadrius hiaticula,18-20cm,"distinctive contact call, mellow or fluty, two notes, second higher, ""too-lee, too-lee""; also a low ""too-weep""; sharper versions in alarm.",
134,Small Plovers,Little Ringe Plover,Charadrius dubius,14-17cm,"a descending, clear ""peeeooo"", usually as a flight call  --  contrasts to the rising call of the Ranged Plover; in alarm, an abrupt rapidly repeated ""pip-pip!, pip!, pip-pip"".",
134,Small Plovers,Kentish Plover,Charadrius alexandrinus,15-17cm,"flight call is a sharp but not loud ""twit"" or ""wit"" and rougher ""pirrr"".",
134,Small Plovers,Red-capped Plover,Charadrius ruficapillus,14-16cm,"as contact, faint ""wit, wit, wit"" or trilled ""twitwit twitwit"" or ""trrrrr""; frantic chirring in distraction display; alarm call a plaintive ""twink"".",
134,Small Plovers,Double-banded Plover,Charadrius bicinctus,18-21cm,"a loud ""pit"", usually high pitched, but varied  --  sometimes a double ""tink-tink"". Flocks in flight maintain contact with constant musical tinkling of many individual ""tink"" and ""chip"" calls.",
134,Small Plovers,Lesser Sand Plover,Charadrius mongolus,18-21cm,"differs slightly from that of Greater Sand Plover, usual call a quick, hard ""chrik"" and ""chrik-it"" on taking flight. As flight call, soft musical ""tirrrit-tirrirt trritt"".",
136,"Plovers, Inland Dotterel",Greater Sand Plover,Charadrius leschenaultii,22-25cm,"rather quiet calling from flocks feeding and in flight  --  a short rippling ""drrit"" or trreet""; extended as ""trrrri-trrrri-trrri-trrri"", so rapid individual notes are not discernible, but at times becoming a rattling sound. Almost unique; with familiarity calls can assist indentification.",
136,"Plovers, Inland Dotterel",Caspian Plover,Charadrius asiaticus,18-20cm,"usual call a loud, sharp ""typi"" or ""tyik"" and more rapidly as a rattling ""tip-tp-tp-tptptp""; also a loud, shrill whistled ""kwheeeit"".",
136,"Plovers, Inland Dotterel",Orietal Plover,Charadrius veredus,21-25cm,"flight call is a soft, very quick ""tik"" or ""tik"" repeatedly irregularly, espeicially among birds of a flock; also has a sharp, rapid trill.",
136,"Plovers, Inland Dotterel",Inland Dotterel,Peltohyas (Charadrius) australis,19-22cm,"quiet outside breeding season unless disturbed. Then, as contact by birds separated from flock, a sharp, metallic ""kwik"" or ""quoik"" given as a sigle or double noted call, or as a longer sequence with notes at 0.5 sec intervals. Calls persist while flock is scattered, running; has been heard from flocks feeding at dusk. Maintains contct and keeps flock together; given loudly as a alarm at intrusion or threat, or in anxiety by birds separated from main group.",
138,"Dotterels, Hooded Plover, Lapwings",Black-fronted Dotterel,Charadrius (Elseyornis) melanops,16-18cm,"contact call a regular, sharp ""tpi-tip-tip-"" at intervals of a second or two; becomes much louder, sharper in alarm.",
138,"Dotterels, Hooded Plover, Lapwings",Hooded Plover,Charadrius (Thinornis) rubricollis,19-23cm,"a husky, very abrupt, almost barking ""kep, kep, kep"" or ""kue, ue, kkue"" at intervals of 1 or 2 sec; also a similar, soft, flute-like ""quiep, quiep…"" and a higher piping.",
138,"Dotterels, Hooded Plover, Lapwings",Red-kneed Dotterel,Erthrogonys cinctus,17-19cm,"flight and alarm call is a rather sharp, double ""tet-tet"" or ""chit-chit"" gives a musical ""prit-prit-pri-t"" trill on being put to flight.",
138,"Dotterels, Hooded Plover, Lapwings",Masked Lapwing,Vanellus miles,35-39cm,"loud, penetrating, insistent; not easily ignored when nearby. As alarm and in threat, noisy ""karrek-karrak-karrak""; rolls the 'r's. If the young are approached, the noise lifts in pitch and temp, ""karrikarrikkarik"" and ""kek-kekkekekeke"".",rolls the 'r's
138,"Dotterels, Hooded Plover, Lapwings",Banded Lapwing,Venellus tricolor,25-29cm,"calls of similar character to those of Masked Lapwing. Usually a grating, strident, resonant, very abrupt ""kerr-kerr-kerr-kerr-"" given in rapid-fire bursts. Also a higher, sharper ""quirrrk-quirrrk-quirrk-"", at times with a ringing effect.",
140,"Skuas, Jaegers",Great Skua,Catharacta skua,62-66cm,silent except in breeding colonies.,
140,"Skuas, Jaegers",South Polar Skua,Catharacta maccormicki,53cm,silent at sea; squeals and screams at Antarctic breeding grounds.,
140,"Skuas, Jaegers",Arctic Jaeger,Stercorarius parasiticus,47-67cm,"silent away from the breeding grounds except for some high, nasal squealing at others of its kind when squabbling over food.",
140,"Skuas, Jaegers",Pomarine Jaeger,Stercorarius pomarinus,67-78cm,"at sea, is known to call when it is competing for scraps around fishing trawlers.",
140,"Skuas, Jaegers",Long-tailed Jaeger,Stercorarius longicaudus,40-58cm,rarely if ever call away from breeding grounds.,
142,Large Gulls,Pacific Gull,Larus pacificus,50-66cm,"in alarm, mournful ""ohk-ohk""; shorter and sharper with greater anxiety, ""owk-owk-owk""; barked ""ok-ok-ok' flying over intruders. Long, peevish, thin, piping ""airrk, airrk"".",
142,Large Gulls,Kelp Gull,Larus dominicanus,50-62cm,"most common throughout year is a long call that starts softly, followed by long sequence of loud notes: ""huh, huh, ee-arh-har-har-har-har"" or ""yho-yho-yho""; usually around 15 notes in series. Used territorially and as a warning. Various other calls, most relating to interaction between birds when breeding.",
142,Large Gulls,Silver Gull,Larus novaehollandiae,38-42cm,"great variety of calls, especially in communal situations. Include an aggressive, rough ""karrgh-arrgh-karrgh"", deeper, guttural ""korrr"", higher ""kwee-arrgh""; wheezy sounds from juveniles.",
142,Large Gulls,Lesser Black-backed Gull,Larus fuscus,50-60cm,NA,
142,Large Gulls,Black-tailed Gull,Larus crassirostris,45-48cm,"a hard bass ""kau, kaou"" or ""yaou""; also plaintive mewing.",
144,Small Gulls,Franklin's Gull,Larus pipixcan,32-35cm,"silent outside breeding colonies, where call is a soft ""krruk"".",
144,Small Gulls,Laughing Gull,Larus atricilla,36-40cm,"a strident, high ""ca-ha"", often prolonged to a frenetic laughing: ""ha-ha-ha-ha-haah-haah"".",
144,Small Gulls,Sabine's Gull,Larus sabini,27-31cm,"harsh grating, like that of Arctic Tern.",
144,Small Gulls,Black-headed Gull,Larus ridibundus,36-42cm,"vocal throughout the year: varied screams; harsh, quite high pitched scolding ""karrgh"" and ""kraaak""; various other calls  --  harsh screams, a drawn out ""kreeoo"" and ""kekk"" in alarm.",
146,Large Terns,Crested Tern,Sterna bergii,43-48cm,"noisy, especially at breeding colonies, often at night and in dawn flights. Intruders near nests or chicks cause much screeching from birds overhead. Alarm call an abrupt ""wep"". Common advertising call a raucous ""graaak"" or ""kirrak"". In threat and alarm, used in response to aerial predators, fighting, duelling in colony, a deep, throaty ""korr-korr-korr-"" and ""krow-krow"".",
146,Large Terns,Lesser Crested Tern,Sterna bengalensis,38-43cm,"liked Crested but less harsh; a grating ""kik-kerek"" and ratchetting ""gr-a-a-a-k"", each ""a"" hard, metallic, abrupt; also a slower, harsh ""grruk-uk-uk"".",
146,Large Terns,Caspian Tern,Sterna caspia,48-54cm,"as an alarm call, the most common call and often given while hovering overhead, a loud, deep, rasping, abrupt ""owgk, owgk"" or ""kowk, kowk, kowk"" at irregular intervals, and, varied slightly, ""urgk, urgk"", or, becoming agitated, more rapidly as ""urgk-urk-uk-uk-uk-"". Also, drawn out, harsh, aggressive sounding ""ar-ar-rr-rk"", or ""kraark"", and higher, squealed ""ai-air-arrk"".",
146,Large Terns,Gull-billed Tern,Sterna nilotica,36-42cm,"a hoarse, nasal, quavering call, ""ar-ark, ar-ark, ar-arrk"".",
148,Medium Terns,White-fronted Tern,Sterna striata,35-43cm,"when disturbed or in flight, a sharp, squeaky, rasping ""ki-erk"", beginning sharply, becoming a vibrating, rasping sound, still quite high; the whole call quite quick. Also gives a more abrupt ""kiek"" as a contact call, and an angry scream at aerial predators. From colony or flock, a confusion of sharp squeaks intermingle with lower, but not deep, rasping sounds.",
148,Medium Terns,Black-naped Tern,Sterna sumantrana,30-32cm,"sharp, scratchy, abrupt ""chaik-chaik, chaik, chaik"" at irregular intervals; also harsh scolding sounds, ""karrk-karrk-"".",
148,Medium Terns,Antarctic Tern,Sterna vittata,32-36cm,"a high ""chirr-chirr-chirrah""; a rattling alarm call, and a scolding, squawking noise when nest site threatened.",
148,Medium Terns,Roseate Tern,Sterna dougallii,31-38cm,"usual flight call is a rising ""ch-vriek"" or clear ""chu-ick"". Also gives a deep, grating ""krarrk"".",
150,Medium and Small Terns,Common Tern,Sterna hirundo,32-37cm,"contact call in flight a repeated ""kik-kik-kik"" or ""kirrik-kirrik""; also angry ""krek, krek"", ""kwarr"" in conflict.",
150,Medium and Small Terns,Arctic Tern,Strna paradisaea,32-37cm,"a shrill ""tchieek"" and ""tree-teeair""; sharp ""kee-kiear"" calls, sharper than Common Tern.",
150,Medium and Small Terns,Little Tern,Sterna albifrons,20-28cm,"a short, sharp high-pitched ""kiep"" or ""queik"", and slightly harsh ""krik-kriek"".",
150,Medium and Small Terns,Fairy Tern,Sterna nereis,22-27cm,"abrupt nasal ""arrak, arrik, arrik""; fast excited ""krik-krikrikkrik"".",
152,"Marsh Terns, Ternlets",Whiskered Tern,Chlidonias hybridus,23-25cm,"a harsh, rather hoarse, rasping ""kierch"" or ""kerrrik"", and sharper ""krik"" or ""krit-ik"".",
152,"Marsh Terns, Ternlets",White-winged Black Tern,Chlidonias leucopterus,20-23cm,"sharp ""krik"", a hoarse, quite deep ""keerek"", and fast ""kiek-kiek-kiek"".",
152,"Marsh Terns, Ternlets",Black Tern,Chlidonias niger,22-24cm,"a sharp, high but weak ""kik-kik-kik-""; sharper, louder ""tweek, tweek"" in alarm.",
152,"Marsh Terns, Ternlets",White Tern,Gygis alba,30-33cm,"a muffled rasping or grinding sequence that gradually fades: ""arrag-arrag-arrug-urrug-urrug"".",
152,"Marsh Terns, Ternlets",Grey Ternlet,Procelsterna cerulea,25-30cm,"rapid, sharp purr, almost a cat-like ""meiow"", rising in pitch and frequency to a high spqueak, ""qar-ar-ar-arair-aik-aaiik"", a quick rattle that lasts from half to one second.",
154,"Sooty and Bridled Terns, Noddies",Sooty Tern,Sterna fuscata,38-45m,"does not often call at sea, but noisy in colonies with almost constant yapping calls, rather like yapping of a small dog, ""ker-waka-wak"", from which comes the alternative common name, ""Wide-awake"". As alarm, a harsh, drawn out ""kraaak"". In colonies the incessant cacophony of hundreds of ""wak-awak"" and similar calls itermingle, so that it is difficult to single out the calls of any individual birds.",
154,"Sooty and Bridled Terns, Noddies",Bridled Tern,Sterna anaethetus,35-41cm,"like yapping of a small dog -- similar to the yap of a Black-winged Stilt; very abrupt, nasal ""ak, ak-ak, ak-ak-aak"" or ""wep-wep, wep-wep-wup"", and harsher, scolding ""airrrgh, arrrrgh"".",
154,"Sooty and Bridled Terns, Noddies",Common Noddy,Anous stolidus,40-45cm,"a grating or guttural ""urk-urk-rrk-rrk-rrkrrk"" that combines in a colony as constant, murmuring background noise. In alarm or threat, harsh, guttural squawks: ""kar-rrark""; ""kraaaa"".",
154,"Sooty and Bridled Terns, Noddies",Black Noddy,Anous minutus,35-40cm,"harsh, fast, rattling, ""ak-ar-r-r-r-k, ak-ar-r-r-r-k"", ""ak-ak-ak-akak"", ""ak-aairak-ak-air-ark""; screeches in alarm. A colony vibrates with rattling noise.",
154,"Sooty and Bridled Terns, Noddies",Lesser Noddy,Anous tenuirostris,30-34cm,"a purring sound, churring or soft rattling; similar to, but probably softer than sounds of other noddies; a colony of thousands described as sounding like a ""vast purring chorus"". Also has louder rattle of alarm.",
156,"Large Fruit-Doves, Pigeons",Banded Fruit-Dove,Ptilinopus cinctus,33-35cm,"advertising call a deep booming ""coo"" repeated 6-8 times at intervals of several seconds.",
156,"Large Fruit-Doves, Pigeons",White-headed Pigeon,Columba leucomela,38-40cm,"a soft, high-low ""whOO-wuk, whOO-wuk"", much softer, and fading away.",
156,"Large Fruit-Doves, Pigeons",Pied Imberial Pigeon,Ducula bicolor,38-42cm,"usually a double noted ""ook!-whuuu""; the first part abrupt, the second drawn out, moaning, fading. In display a ""coo-whoo-hoo""; soft then loud, synchronised with bowing movements.",
156,"Large Fruit-Doves, Pigeons",Elegant Imperial-Pigeon,Ducula concinna,44-48cm,"a deep, gruff, growling ""urr-woooo"" and a shorter, abrupt, almost barked version; the two intermixed or given by two birds -- one growling, the other grunting.",
156,"Large Fruit-Doves, Pigeons",Collared Impeial-Pigeon,Ducula mullerii,40-43cm,"not well-known, but includes a rising sequence of about five cooing calls.",
156,"Large Fruit-Doves, Pigeons",Topknot Pigeon,Lopholaimus antarcticus,40-45cm,"often silent; has a low, resonant, abrupt grunt ""whug, whug, whug""; in flock, feeding or fighting, short sharp screeches.",
158,"Bronzewings, Spinifex and Crested Pigeons",Flock Bronzewing,Phaps histrionica,27-31cm,"no audible calls at water or in flight. Birds in feeding flocks give a soft, low, drawn out moaning at even pitch and volume; in display a ""wook"" call.",
158,"Bronzewings, Spinifex and Crested Pigeons",Crested Pigeon,Ocyphaps lophotes,31-35cm,"a rather musical ""whoo""; starts softly, lifts up and strengthens, ending abruptly, ""whoo,-whoo,-whoo""; also a very quick ""woop!"".",
158,"Bronzewings, Spinifex and Crested Pigeons",Spinifex Pigeon,Geophaps plumifera,20-24cm,"a soft, husky, throaty yet musical ""coo, coo-roo!""with final ""roo!"" uplifting and clearer, the sequence repeated for long periods.",
158,"Bronzewings, Spinifex and Crested Pigeons",Common Bronzewing,Phaps chalcoptera,30-36cm,"advertising call a far-carrying, mournful, slow, resonant and deeply vibrating ""whooo""; begins softly, is carried through at very even, low pitch, dorpping slightly to finish; lasts almost a second, and is repeated at several second intervals. The display call is very different -- a short, soft ""whoo-,hoo-hoo"".",
158,"Bronzewings, Spinifex and Crested Pigeons",Brush Bronzewing,Phaps elegans,25-33cm,"higher, shorter, faster than call of Common Bronzewing, lacking the slight downward slur; a repeated ""hoo, hoo, hoo, hoo"", each call seeming to grow slightly higher and quicker with building excitement.",
