Page,Chapter,EnglishCommon,LatinSpecies,Length,SizeSpecifier,Voice,Comments
243,Passerines,Blue Rock Thrush,Monticola solitarius,21-23cm,length,"Calls include a flutey ""tiu-tee""and a vibrant ""wee-tchuk-tchuk"", the latter notes like 2 stones being knocked together.",
244,Passerines,Redstart (Eastern Race),Phoenicurus phonenicurus samamiscus,14cm,length,"Utters a soft ""huiit"" call and a sharp ticking when alarmed.",
244,Passerines,Eastern Black Redstart,Phoenicurus ochruros phoenicuroides,14cm,length,"Utters a whistling ""svit"", or ""svit-it-it"" call.",
245,Passerines,Siberian Stonechat,Saxicola maurus,11-13cm,length,"Utters a harsh ""tchak"" call, like 2 pebbles being knocked together.",
248,Passerines,Pied Wheatear,Oenanthe pleschanka,14-16.5cm,length,"Utters a loud buzzing call, and a whistling ""wee-tchik"", the last note like 2 stones being knocked together.",
249,Passerines,Black-eared Wheatear,Oenanthe hispanica,13.5-15.5cm,length,"Calls include a chirruping buzz, and a shrill, whistling ""tchweerp"".",
250,Passerines,Desert Wheatear,Oenanthe deserti,14.5-15.5cm,length,"Calls include a sharp ""tsik"" and a whistling ""tsee-a"".",
251,Passerines,Isabelline Wheatear,Oenanthe isabellina,15-16.5cm,length,"Calls include a sharp ""tchiup"".",
252,Passerines,Yellow Wagtail (Vagrant Races),Motacilla flava,15-16cm,length,"Most sspp. utter a distinctive ""tsree-ee"" call. Call of Black-headed is a more rasping ""brrzee-ee"".",
253,Passerines,Citrine Wagtail,Motacilla citreola,15-17cm,length,"Flight call is a thin, buzzing ""sreee"".",
255,Passerines,Richard's Pipit,Anthus richardi,17-20cm,length,"Flight call is a diagnostic loud ""pschreep"", like that of a House Sparrow (Passer domesticus).",
256,Passerines,Tawny Pipit,Anthus campestris,15.5-18cm,length,"Calls include a shrill ""tsche-erp"" like that of Yellow Wagtail, and a ""tchirrp"" like that of House Sparrow (Passer domesticus).",
257,Passerines,Blyth's Pipit,Anthus godlewskii,15.5-17cm,length,"Flight call is a loud ""schreep"", subtly softer than Richard's. Also utters a Yellow Wagtail-like ""speeoo"" call.",
257,Passerines,Pechora Pipit,Anthus gustavi,14-15cm,length,"A buzzing, rattling ""dzee"".",
258,Passerines,Olive-backed Pipit,Anthus hodgsoni,14-16cm,length,"Call is a thin ""tseep"".",
259,Passerines,Red-throated Pipit,Anthus cervinus,14-15cm,length,"Flight call is a thin, high-pitched ""pssee"".",
260,Passerines,Buff-bellied Pipit,Anthus rubescens,15-16cm,length,"Utters a single-note ""pseet"" call; tone recalls Meadow Pipit.",
260,Passerines,Alpine Accentor,Prunella collaris,15-17.5cm,length,"Utters a slightly trilling ""drrrp"" call.",
261,Passerines,Spanish Sparrow,Passer hispaniolensis,14-16cm,length,Chirping calls are subtly higher-pitched than House Sparrow.,
261,Passerines,Trumpeter Finch,Bucanetes githagineus,11.5-13cm,length,"Utters a strange nasal bugling call, ""neeerp"", rather like a toy trumpet.",
262,Passerines,Serin,Serinus serinus,11-12cm,length,"Calls include a silvery ""diddle-iddle-lip"" trill and a buzzing ""de-drree"". Song is a rapid jingling, recalling a speeded-up Corn Bunting (Emberiza calandra) song. Spring males sometimes sing from tall trees.",
263,Passerines,Arctic Redpoll,Acanthis hornemanni,12-14cm,length,"Utters a rattling ""chek-chek-chek"" call in flight.",
264,Passerines,Two-barred Crossbill,Loxia leucoptra,14.5-16cm,length,"Calls include a sharp ""tchip-thip"" and a nasal trumpeting note. Song is a series of vibrating trills and whistles.",
265,Passerines,Parrot Crossbill,Loxia pytyopsittacus,16-18cm,length,"Call is a loud ""tchip-tchip"". Song is a series of vibrating trills and whistles.",
266,Passerines,Pine Grosbeak,Pinicola enucleator,19-22cm,length,"Call is a whistling ""piew"".",
267,Passerines,Common Rosefinch,Erythrina erythrina,14-15cm,length,"Utters a ""tchu-ee"" call like that of a Greenfinch (Chloris chloris). Song is a whistling ""weed-ya, weed-ya, viu"".",
268,Passerines,Rose-breasted Grosbeak,Pheucticus ludovicianus,17.5-20cm,length,"Call is a sharp ""piik"".",
269,Passerines,Scarlet Tanager,Piranga olivacea,15.5-17cm,length,"Utters a tongue-smacking ""tchh-brrr"" call.",
269,Passerines,Savannah Sparrow,Passerculus sandwichensis,14-16cm,length,"Call is a thin ""stip"".",
270,Passerines,Song Sparrow,Melospiza melodia,13-15cm,length,"Call is a flat ""cheerp"".",
270,Passerines,White-crowned Sparrow,Zonotrichia leucophhrys,15-16cm,length,"Call is a sharp ""pink"".",
271,Passerines,White-throated Sparrow,Zonotrichia albicollis,15-17cm,length,"Call is a sharp ""cheenk"".",
271,Passerines,Dark-eyed Junco,Junco hyemalis,13.5-14.5cm,length,"Call is a tongue-smacking ""tchht"".",
273,Passerines,Rock Bunting,Emberiza cia,15-16.5cm,length,"Call is a thin ""tsi"".",
274,Passerines,Cretzschmar's Bunting,Emberiza caesia,14-15.5cm,length,"Utters a shrill, almost sparrow-like ""tchiup"". Song is a sweet-sounding ""tswe-tswe-tswe-tswee"" (likened by some to the start of Beethoven's 5th Symphony).",
275,Passerines,Ortolan Bunting,Emberiza hortulana,15-16cm,length,"Calls include a thin ""tsee"", a tongue-clicking ""tchiup"" and a liquid ""plett"". Song is a rather rasping ""tswe-tswe-tswe-tchue"" (its tone is reminiscent of the song of a Yellowhammer, E. citrinella).",
276,Passerines,Yellow-browed Bunting,Emberiza chrysophrys,14-15.5cm,length,"Call is a thin, shrill ""tzik"".",
276,Passerines,Rustic Bunting,Emberiza rustica,13-15cm,length,"Call is a thin ""tsip"".",
277,Passerines,Little Bunting,Emberiza pusilla,12-14cm,length,"Call is a sharp ""tzik"".",
277,Passerines,Yellow-breasted Bunting,Emberiza aureola,14-16cm,length,"Call is a sharp ""tsick"".",
278,Passerines,Black-faced Bunting,Emberiza spodocephala,14-15.5cm,length,"Calls include a thin ""tzip"".",
278,Passerines,Pine Bunting,Emberiza leucocephalos,16-17.5cm,length,"Rasping ""sziff"" call is similar to that of Yellowhammer.",
279,Passerines,Black-headed Bunting,Emberiza melanocephala,15-17cm,length,"Song is a trilling mix of rasping, fluty notes, descending in pitch from start to finish. Calls include a shrill ""tchiurp"".",
280,Passerines,Pallas's Reed Bunting,Emberiza pallasi,12-13.5cm,length,"Calls include a sparrow-like ""tchiurp"".",
280,Passerines,Bobolink,Dolichonyx oryzivorous,16-18cm,length,"Call is a rather harsh ""tchukt"". In flight, utters a distinctive ""pink"" call.",
281,Passerines,Brown-headed Cowbird,Molothrus ater,18-19cm,length,"Call is a rattling ""krrrk"".",
281,Passerines,Baltimore Oriole,Icterus galbula,18cm,length,Utters a rattling call.,
282,Passerines,Ovenbird,Seiurus aurocapilla,15cm,length,"Call is a sharp ""tsik"".",
282,Passerines,Northern Waterthrush,Parkesia noveboracensis,14cm,length,"Call is a thin, sharp ""tzip"".",
283,Passerines,Black-and-white Warbler,Mniotilta varia,12cm,length,"Call is a sharp ""tchak"".",
283,Passerines,Tenessee Warbler,Oreothlypis peregrina,12cm,length,"Call is a tongue-smacking ""tchht"".",
284,Passerines,Common Yellowthroat,Geothlypis trichas,12cm,length,"Call is a tongue-smacking ""tchet"".",
284,Passerines,Northern Parula,Setophaga americana,11cm,length,"Call is a sharp ""tzip"".",
285,Passerines,American Redstart,Setophaga ruticilla,14cm,length,"Call is a thin ""chip"".",
286,Passerines,Blackburnian Warbler,Setophaga fusca,14cm,length,"Call is a sharp ""tsik"".",
286,Passerines,Yellow Warbler,Setophaga petechia,12cm,length,"Call is a sharp ""tchup"".",
287,Passerines,Blackpoll Warbler,Setophaga striata,14cm,length,"Call is a sharp ""chip"".",
287,Passerines,Yellow-rumped Warbler,Setophaga coronata,14cm,length,"Call is a soft ""tchep"".",
