Page,EnglishCommon,LatinSpecies,Length,Voice,Comment
202,Starling,Sturnus vulgaris,21.5,"Song, given from high perches in trees or houses, is a musical whistled cacophony with many imitations of other birds as well as human artifacts.",
203,House Sparrow,Passer domesticus,14.5,Varied chirps and chatters.,
204,Tree Sparrow,Passer montanus,14,"Clearly sparrow-like, many calls resemble House Sparrow, most characteristic is a hard ""tek...tek...tek..."" in flight.",
205,Goldfinch,Carduelis carduelis,12,"A delightful liquid twittering ""teewit, tewit, tititititi..."". Song an elaboration of the call.",
206,Brambling,Fringilla montifringilla,14,"Very harsh, nasal ""arr-up"". Song a slowly repeated ""dzeeeee"" (very like Greenfinch's call), heard in spring before males return to boreal breeding grounds.",
207,Chaffinch,Fringilla coelebs,14.5,"Calls include a distinctive ""pink"" and loud ""heap"". Song stereotyped, varying only slightly from place or place or between individuals, vigorous and endlessly repeated, a descending, staccato series of notes that terminates with a flourish ""tink-tink-tink-chink-chink-chink-dink-dink-tiddle-you-wee-o"".",
208,Greenfinch,Carduelis chloris,15,"Very vocal, call a mellow, twittering ""twi-twi-twi-twi"". Song a loud, nasal ""de'weez"", interspersed with twittering calls, sometimes given in slow, stiff-winged circular display flight.",
209,Siskin,Carduelis spinus,12,"Flight call distinctive, high-pitched, nasal ""tuwee...spiyu...tuwee...spiyu..."". Flocks produce a twittering chorus. Song jangling with nasal ""dweeez"" notes.",
210,Crossbill,Loxia curvirostra,16.5,"Often elusive in tree tops, best detected by hard, clipped ""chip, chip, chip..."" given both at rest and in flight; flocks give an excited, noisy chorus.",
211,Lesser Redpoll,Carduelis cabaret,12,"Flight call a mechanical, ""chett-chett-chett"". Also gives a rather Greenfinch-like ""jeee"". Song, usually given in flight, is a mix of the flight call and a buzzing ""brrrrr"".",
212,Twite,Carduelis flavirostris,14,"Song a mixture of trills, buzzes and twitters. Some calls like Linnet's, but also gives distinctive nasal ""tzwee"".",
213,Linnet,Carduelis cannabina,13.5,"Flight call, especially prominent on rising, a dry, slightly nasal ""chit-it, chit-it, chit-it-it"". Song a rapid trilling and jangling.",
214,Hawfinch,Coccothraustes coccothraustes,18,"Call an abrupt, clicking ""tsik!"" (recalls a Robin's ""tic"", but harder and more explosive). Song quiet and seldom heard.",
215,Bullfinch,Pyrrhula pyrrhula,15.5,"A beautiful soft, piping, whistle, ""puh, puh..."". Song soft, hesitant and seldom heard.",
216,Cirl Bunting,Emberiza cirlus,15.5,"Song a dry, rattling, trill lasting around 1.5 seconds, with the notes at the same pitch: ""tzi-tzi-tzi-tzi-tzi..."". Recalls a speeded-up Yellowhammer, but lacks the final wheezy ""bzuuu"". Males often sit on prominent perches to sing. Call a thin, rather quiet ""tsit"".",
217,Yellowhammer,Emberiza citrinella,16.5,"Song a stereotyped phrase, similar in all birds, 5-8 accelerating short notes followed after a gap by a longer, more wheezy note, ""si-si-si-si-si-bzuuuu"". Call at rest an abrupt, metallic ""tzikh"", in flight a soft ""tillip"".",
218,Snow Bunting,Plectrophenax nivalis,16.5,"Soft, 'wooden', rippling ""tri-li-li-lip"" and more pronounced ""teu"". Song a pretty warble.",
219,Reed Bunting,Emberiza schoeniclus,15.5,"Song a slow series of notes, e.g. ""chip, chip, siu, sirrr"". Call a thin, down-slurred ""psiu"".",
220,Corn Bunting,Emberiza calandra,18,"Song short and stereotyped, almost identical in all individuals and said to resemble the vigorous jangling of a bunch of keys; starts hesitantly and then accelerates to a jangling flourish: ""tit, tit, tiddle-idle-ee-e"". Calls include a soft ""pit"".",
