EnglishCommon,LatinSpecies,Family,Order,Length,Voice
Buff-bellied Hummingbird,Amazilia yucatanensis,Trochilidae,Caprimulgiformes,10.5,"In aggressive interactions with other Buff-bellied Hummingbirds, gives a rapid series of low notes.  Displaying birds make a two-syllable call. "
Buff-breasted Flycatcher,Empidonax fulvifrons,Tyrannidae,Passeriformes,13,"Call a sharp  "" pit. ""  Song a squeaky, musical  "" chee-lick ""  or  "" chee-lick, chou. "" "
Buff-breasted Sandpiper,Calidris subruficollis,Scolopacidae,Charadriiformes,19,"Usually silent. Makes low trills and shorter, soft  "" chuh  "" or  "" chwup "" calls in flight. No typical song, but males make a quiet ticking sound when courting females."
Bufflehead,Bucephala albeola,Anatidae,Anseriformes,36,"Males often give a grating or chattering call during their head-bobbing courtship displays, and they may squeal or growl in late winter or spring. Females give a guttural  "" cuk-cuk-cuk "" call when circling around potential nest sites. Females also call to their ducklings with a low, throaty note that makes them hurry after her. Bufflehead are quieter than other ducks in their genus. "
Bullock's Oriole,Icterus bullockii,Icteridae,Passeriformes,18,"Both sexes utter a harsh, chattering rattle—sometimes in flight—to signal alarm or maintain contact, or when mobbing or scolding. They also give a sharp one-note call. Bullock's Oriole songs are about 3 seconds long, composed of rich whistled notes interspersed with rattles, often introduced by gruff scratchy notes. The timbre is reminiscent of a child's squeaky-toy. The male's and female's songs are similar in rhythm, pitch, and quality, but the female's final notes are harsher. Females may sing repeatedly from the ground; males usually sing only in trees, often from an inconspicuous perch."
Burrowing Owl,Athene cunicularia,Strigidae,Strigiformes,22,"While Burrowing Owls are capable of producing a variety of cooing, warbling, rasping, clucking, screaming, and rattling sounds, the species is not especially vocal. Most commonly heard is a quail-like two-note cooing made by males during mating and territorial defense. Young owls utter  "" eep "" calls and rasping sounds, the most intense and prolonged of which may scare away predators by mimicking a rattlesnake's warning. "
Bushtit,Psaltriparus minimus,Aegithalidae,Passeriformes,7.5,"Bushtits make several kinds of short, high, wispy contact calls or chip notes. These help group members know where flockmates are. They can intensify to indicate nesting activities or when mobbing predators or confronting opponents. Individuals that get separated from a group make a rapid series of high-pitched chip notes that carries well. Bushtits are active birds that use lots of contact calls, but they don't really have a song. Occasionally, several individuals gathered together make a long, drawn-out series of quiet twitters and chips."
Cackling Goose,Branta hutchinsii,Anatidae,Anseriformes,64,"Noisy. Call a loud honking or a high-pitched, squeaking cackle. "
Cactus Wren,Campylorhynchus brunneicapillus,Troglodytidae,Passeriformes,20,"Adults and fledglings give several types of calls. The  "" tek "" call is a staccato series of notes that adults give to warn intruding wrens. Adults and fledglings also make a single  "" chuck "" sound to communicate with each other. Adults often give a buzz when they see predators. Males make a squeal that sounds like a painful whine when the female takes over the roosting nest to start nesting during the breeding season. Males and females give a growl-like call when they encounter each other, sometimes likened to the sound of a metal rake dragged through loose gravel. The song of the Cactus Wren is a quintessential sound of the desert and sounds like a car that just won't start. Each attempt to start the car lasts for about 4 seconds with a 4-8 second pause before they try again. The raspy, harsh, loud series of harsh  "" char ""  notes, increases slightly in volume and pitch, and the sound carries through the heat of the desert, as far as 1,000 feet away. Females also sing, although their weaker and higher-pitched song is rarely heard. Males sing to attract females and to communicate with their mate and young as well as to warn potential intruders."
California Condor,Gymnogyps californianus,Cathartidae,Cathartiformes,125.5,"Condors are usually silent, but can issue a variety of hisses and snorts particularly when defending nest sites. Newborn chicks hiss, wheeze, and grunt at adults. "
California Gnatcatcher,Polioptila californica,Polioptilidae,Passeriformes,11,"Females and more often males give a call that sounds similar to a kitten's meow. They call year-round, but males tend to call more frequently before and during nest building. During this time, they give around 80 calls per hour. They also scold intruders and predators with a harsh cry or "" mew "" .  "
California Gull,Larus californicus,Laridae,Charadriiformes,50.5,"California Gulls do not have true songs, but they are quite vocal; they cry and carry on even at night on their breeding colonies. Their calls consist of a scratchy, hoarse series of  "" aow ""  and  "" uh-uh-uh ""  notes. They have several types of calls with corresponding unique behaviors including the  "" long call, ""   "" choking call, ""   "" warning call, ""  and  "" alarm call. ""  The  "" long call ""  given during territorial defense starts with their heads lowered and as they raise their heads straight up they bellow out an  "" aow "" . During the  "" choking call ""  they put their breast on the ground and jerk their head up and down as if they were choking while giving a  "" huoh-houh-houh "" . They give the  "" choking call ""  most frequently before and during nest building. The  "" warning call ""  is a long ringing  "" yeow "" , given in flight, especially when they flush from a breeding colony. The  "" alarm call ""  is a series of sharp  "" ha ha ha ha "" notes that they give in flight, often when they detect a predator. Compared to Ring-billed and Herring Gulls, their calls are intermediate in pitch—Ring-billed Gulls are higher pitched and Herring Gulls are lower pitched. "
California Quail,Callipepla californica,Odontophoridae,Galliformes,25.5,"The California Quail's main call consists of three syllables and sounds like the bird is saying  "" Chi-ca-go "" . It's usually given when an individual is separated from its group or mate, as well as while a covey is on the move or preparing to move. The call lasts about 1 second and can be given 10 times or more in succession. California Quail use a repeated  "" pit-pit "" alarm call to alert covey members of nearby danger. Mated California Quail pairs call antiphonally: the male makes short, shrill notes in time with the female's  "" Chi-ca-go "" call. "
California Scrub-Jay,Aphelocoma californica,Corvidae,Passeriformes,29,"California Scrub-Jays, like other jays, are extremely vocal. Behaviorists have described more than 20 separate types of calls for this and the closely related Woodhouse's Scrub-Jay. Examples include a weep uttered during flight, while carrying nesting material, or while taking cover from a flying predator; a bell-like  "" shlenk "" used antagonistically, a quiet  "" kuk "" exchanged between mates, and loud, rasping scolds for mobbing predators. Both males and females sing a soft medley of sweet notes that can last up to 5 minutes. Scrub-jays typically do this only during courtship and when the pair is close together."
California Thrasher,Toxostoma redivivum,Mimidae,Passeriformes,32,"Both sexes give a low  "" chup "" call that is often heard, as well as a rising  "" churreep  "" and harsher  "" chak. "" Males sing a series of twice-repeated phrases with 2-3 syllables each, usually with a sweet quality, often including imitations of other bird species around them, including California Quail, Wrentit, California Scrub-Jay, Bewick's Wren, Nuttall's Woodpecker, Spotted Towhee, and Lesser Goldfinch. Females sometimes join males in song, and their songs are of similar type and volume."
California Towhee,Melozone crissalis,Passerellidae,Passeriformes,23,"The most frequently heard sound from California Towhees is a clear, metallic chip, similar to the sound of a Northern Cardinal (and also to the California ground squirrel). Males and females may call intermittently or in a monotonous string of chips every couple of seconds. When birds are alarmed, the chipping rate may triple. Mated pairs often face each other and give a rapid series of squeals and squeaks; this call is an important part of reinforcing the pair bond. The song is given only by male California Towhees and is made up of repetitions of the bird's metallic chip note. Songs typically start with a few well-spaced notes that rapidly accelerate into a trill and then stop abruptly. The whole song typically lasts 1-2 seconds."
Calliope Hummingbird,Selasphorus calliope,Trochilidae,Caprimulgiformes,8.5,Like other hummingbirds they chip while foraging and during encounters with other birds. Male Calliope Hummingbirds emit a high pitched zing that sounds a bit like a sharp knife cutting quickly through the air during their display dives. 
Canada Goose,Branta canadensis,Anatidae,Anseriformes,93,"Various loud honks, barks, and cackles. Also some hisses. "
Canada Jay,Perisoreus canadensis,Corvidae,Passeriformes,27,"Canada Jays have a wide array of calls from harsh chatters to clear whistles, though they are much less vocal than other jays and crows. They can imitate the calls of their predators, including Northern Pygmy-Owls, Rough-legged Hawks, Merlins, Pine Grosbeaks, Red-tailed Hawks, Broad-winged Hawks, American Crows, and Blue Jays. This mimicry may confuse the predator or signal a threat to other Canada Jays. Canada Jays sing a 'whisper song,' a series of soft melodious notes interspersed with quiet clicks, lasting up to a minute."
Canada Warbler,Cardellina canadensis,Parulidae,Passeriformes,13.5,"Males and females give a short, flat chip.  Canada Warblers sing a clear and loud song that starts with a chip, followed by a series of warbling notes that often ends on a higher pitch. Songs of individuals are highly variable; they have the same general Canada Warbler quality, but the order and pace of notes change. Males are the primary songsters, but female song was reported in one instance. Males sing around 6 songs per minute when they are looking for a mate. They generally sing from a low perch within their territory. "
Canvasback,Aythya valisineria,Anatidae,Anseriformes,52,"Canvasbacks are generally silent. Males make soft cooing sounds and females give a guttural  "" krrr-krrr "" during courtship. Nonbreeding birds make a wheezing call when other Canvasbacks approach a feeding area. Females sometimes quack when taking flight.  "
Canyon Towhee,Melozone fusca,Passerellidae,Passeriformes,23,"The typical Canyon Towhee call note is a low-pitched, two-parted  "" she-dup "" . Mated pairs also make a high, thin  "" seep "" note to stay in touch with each other or in alarm, and nestlings that hear this note go quiet. A foraging pair periodically comes together and exchanges a string of these  "" seep "" notes while facing each other, bobbing their heads, and fluffing feathers. A typical Canyon Towhee song consists of 6-8 repeated, two-parted syllables, sounding like  "" chili-chili-chili "" , lasting 1-2 seconds and often introduced by a call note. Within this basic structure there are many variations in the pattern and tempo."
Canyon Wren,Catherpes mexicanus,Troglodytidae,Passeriformes,13.4,"A scratchy-sounding  "" tsee "" . Subtle variations of this call probably serve as contact and alarm calls. When a male sings, the female partner often begins a series of calls during his song, in duet. Both male and female sing, a lovely series of sweet, liquid notes that descends and slows, trailing off in a series of doubled notes, often finished with a mewling call note or two. Female songs are often shorter and less rich sounding than male songs. Males sometimes sing in winter."
Cape May Warbler,Setophaga tigrina,Parulidae,Passeriformes,12.5,"The most commonly heard call is a short, incisive, high-pitched "" tsip "" . A similar flight call is given by nocturnal migrants. Other reported call types include a descending  "" tsee "" in flight or while feeding; a short  "" prssp "" ; and  "" tzee "" as well as dry ticking notes in conflict and during chases. Males sing a series of 3­-8 thin, very high-pitched  "" tseet "" notes, all on the same pitch; very similar to song of Bay-breasted Warbler. A secondary song is similar but uses doubled notes, recalling the primary song of Black-and-white Warbler. Females have not been reported to sing."
Carolina Chickadee,Poecile carolinensis,Paridae,Passeriformes,11,"The Carolina Chickadee's version of the  "" chickadee-dee-dee "" is more rapid than the comparable sound produced by Black-capped Chickadees. Carolina Chickadees also produce a wide variety of gargles and raspy notes. A very high-pitched  "" seee "" warns of falcons or accipiters flying over. Often a four-note whistle. One pattern is  "" fee-bee-fee-bay "" with first and third notes higher in pitch, but at least 35 other songs heard."
Carolina Wren,Thryothorus ludovicianus,Troglodytidae,Passeriformes,13,"Carolina Wrens have a large repertoire of calls, including loud repeated rasping, chattering, and a rising and falling  "" cheer. "" Only male Carolina Wrens sing—a series of several quick, whistled notes, repeated a few times. The entire song usually lasts less than 2 seconds and the notes are usually described as three-parted, as in a repeated  "" teakettle "" or  "" germany "" . Each male has a repertoire of up to several dozen different song variations. He'll sing one of these about 15 times before changing his tune."
Caspian Tern,Hydroprogne caspia,Laridae,Charadriiformes,50.5,"Call a raspy  "" kowk. ""  Juvenile begging call a high pitched whistling; heard frequently during migration and in winter. "
Cassia Crossbill,Loxia sinesciuris,Fringillidae,Passeriformes,NA,"Cassia Crossbills give a short kip in flight that serves to keep the group together. The call differs slightly from Red Crossbill type 2 and type 5 calls, but hearing the difference is challenging. Cassia's call (Type 9) is a bit lower in pitch and has a harsher quality to it. The best way to separate them is to look at the shape of the call on a spectrogram. Each Cassia Crossbill call consists of an upside-down U followed by a slash. More detailed information on crossbill call types is on <a href= "" http://ebird.org/content/ebird/news/crossbills-of-north-america-species-and-red-crossbill-call-types/ "" >eBird</a>. Their excitement calls, often given as an alarm call or in response to aggressive flock mates also differ from Red Crossbill types 2 and 5. Cassia Crossbill's excitement call rises and then falls in pitch unlike Red Crossbill type 5, which doesn't rise and fall as much and unlike Red Crossbill type 2, which starts lower in pitch and then rises and falls. The Cassia Crossbill sings a jumbling warble much like other crossbills, but its song is a bit buzzier with more repetition. "
Cassin's Auklet,Ptychoramphus aleuticus,Alcidae,Charadriiformes,23,Generally silent at sea. Makes loud creaking call at colony. 
Cassin's Finch,Haemorhous cassinii,Fringillidae,Passeriformes,16,"Both males and females give distinctive, liquid calls with two or three syllables. The male makes a loud call as he returns from foraging to perch near the nest tree, and the female responds to the call of her mate, ignoring the calls of other males. Male Cassin's Finches sing a rollicking, warbling song with a fast series of short syllables. Their songs often include obvious and quite skilled imitations of other bird species. They sing from perches, in flight, and even while mating. Males sing to attract females in the spring, but they don't seem to defend territories through song."
Cassin's Kingbird,Tyrannus vociferans,Tyrannidae,Passeriformes,22,"Both sexes, but mostly males, give a quick, emphatic  "" ti-bew "" or higher  "" chi-queer "" , one of the more distinctive sounds of western landscapes. During territorial conflicts, males also give an incisive, shrill  "" ki-dear, ki-dear, ki-dear "" . Males vocalize before and through dawn with what many birders call a 'dawn song.' These vocalizations have tremendous variation, even in a single bird, and are used to attract a mate and to mark territory. The typical song is a series of scratchy, rolling notes that rise in pitch and emphasis at the end, lasting around 3 seconds."
Cassin's Sparrow,Peucaea cassinii,Passerellidae,Passeriformes,14,"A very high-pitched, rising  "" psit "" . The primary song is a whistled melody, beginning with two short introductory notes, followed by a rich, fluting trill and two lower final notes. As do many other sparrow species, Cassin's also has a 'complex' song that resembles the primary song but is preceded by series of chips and buzzy notes. Courting adults often give a buzzy twitter call when chasing or displaying over the territory."
Cassin's Vireo,Vireo cassinii,Vireonidae,Passeriformes,12.3,"Among the most often heard vocalizations outside the breeding season are harsh, raspy alarm calls ( "" cha-cha-cha-cha "" ) that vary in intensity and duration. Cassin's Vireo's calls sound very similar to the calls of other vireos but are useful to learn, as they often attract other bird species. The male sings a halting, burry song of ascending and descending phrases. There can be 1 second or more of silence between each phrase, and the overall song can go on for long periods. Plumbeous Vireo songs are almost identical but the first phrases of its song are less burry than in Cassin's."
Cattle Egret,Bubulcus ibis,Ardeidae,Pelecaniformes,51,"Cattle Egrets give raspy, repeated 'rick-rack' calls throughout the year at the nest and the roost. Their repertoire also includes harsh 'raa' calls to defend the nest and chatter calls to greet their mates. They are usually quiet while foraging and flying. "
Cave Swallow,Petrochelidon fulva,Hirundinidae,Passeriformes,14,"Cave Swallows chatter in flight with a high-pitched  "" zreet "" that they repeat multiple times.  Cave Swallows sing a series of squeaks, complex warbles, gurgles, and knocks that lasts for about 6 seconds. The song tends to lack the static-like sounds of Cliff Swallows. "
Cedar Waxwing,Bombycilla cedrorum,Bombycillidae,Passeriformes,15.5,"Cedar Waxwings have two common calls: a high-pitched, trilled  "" bzeee "" and a sighing whistle, about a half-second long, often rising in pitch at the beginning. Cedar Waxwings call often, especially in flight. "
Cerulean Warbler,Setophaga cerulea,Parulidae,Passeriformes,11,"Males and females commonly give a metallic buzzy  "" zeet "" , likely to keep in touch with their mate. They also give this call during flight. A second call is a sharp chip given as an alarm call.  Male Cerulean Warblers sing a buzzy song that ascends to a buzzy trill. The song starts with 3 buzzy notes, followed by 4 fast warbles, and ends with a higher pitched buzzy trill. They sing from canopy perches, often in bitternut hickories and white oaks. "
Chestnut-backed Chickadee,Poecile rufescens,Paridae,Passeriformes,11,"The main call of the Chestnut-backed Chickadee is a high, thin, scratchy  "" chick-a-dee "" , 1-1.5 seconds long. The number of  "" dee "" notes is variable, but typically fewer than in the Black-capped Chickadee's call. The Chestnut-backed Chickadee's other common call is the gargle, a jumble of short clicks often dropping in pitch and ending on a longer note. The whole call lasts about a second. It's typically used to defend territories or to signal aggression by birds in a flock. Chestnut-backed Chickadees don't have the clear-whistled  "" fee-bee "" song that most other chickadees use. Instead it has a song, given rarely, that consists of a series of 'gargle' calls."
Chestnut-collared Longspur,Calcarius ornatus,Calcariidae,Passeriformes,14.75,"Chestnut-collared Longspurs give a buzzy contact call,  "" tzip, "" during aggressive interactions with other longspurs. They also commonly make a finchlike  "" til-lip  "" contact call.  Male Chestnut-collared Longspurs sing both during the flight display and while perched. The song is a sweet, descending warble with various gurgling pitch changes, lasting about 2 seconds. "
Chestnut-sided Warbler,Setophaga pensylvanica,Parulidae,Passeriformes,13,"The most commonly heard call is a rich, sweet  "" chip "" , recalling that of Yellow Warbler. Males sing two songs. The song most often heard is a short ditty often described as  "" Pleased, pleased, pleased to meetcha! "" or  "" I wish to meet Miss Beecher ""  "" ! "" This song ends with a decisive accented ending, indicated by the exclamation mark. The other song is similar but lacks this emphatic ending, and as a result sounds much more like the typical song of a Yellow Warbler. Males sing the accented song more often while trying to attract a female. Later in the nesting season they switch and sing unaccented song more often."
Chihuahuan Raven,Corvus cryptoleucus,Corvidae,Passeriformes,49.5,"A  "" caw  "" similar to the call of American Crow but longer and lower in pitch. "
Chimney Swift,Chaetura pelagica,Apodidae,Caprimulgiformes,13.5,"Chimney Swifts give a fast, twittering series of high-pitched chip notes, about 3 seconds long. In flight the chips can be so close together that they become a buzzy, insect-like twitter. In other situations the chips can be spaced nearly a half-second apart. "
Chipping Sparrow,Spizella passerina,Passerellidae,Passeriformes,13.5,"Year round, both sexes use a single chip note to stay in contact with others. Upon sighting a hawk, Chipping Sparrows give a long  "" zeeeee "" call as an alarm. During courtship, females make a soft, rapid  "" see-see-see-see "" to attract the attention of her mate. Male Chipping Sparrows sing a long, dry trill of evenly spaced, almost mechanical-sounding chips. It's one of the most common sounds of open woods in spring - but be careful, because Dark-eyed Juncos sound very similar (though a bit more musical) and often live in the same habitats. Songs are about 3.6 seconds long on average, consisting of around 55 nearly identical chip notes in a row."
Chuck-will's-widow,Antrostomus carolinensis,Caprimulgidae,Caprimulgiformes,30," Song a loud  "" Chuck-will's-widow, ""  with the first  "" chuck ""  being quiet and inaudible at a distance."
Chukar,Alectoris chukar,Phasianidae,Galliformes,36,"Chukars are vocal birds with a handful of calls used for social contact, aggressive or sexual behavior, or when alarmed. The most common vocalization is a loud and raspy call that starts with a low intensity  "" chuck "" , intensifies to a louder  "" chukar "" , and ends with a slower 3 syllable  "" chuck-a-ra "" . Males and females give their namesake call to keep track of each other, and males use it during the breeding season to keep other males out of their territory. When startled they give a loud piercing scream as they flush. "
Cinnamon Teal,Spatula cyanoptera,Anatidae,Anseriformes,40.599999999999994,"Males in conflict or courtship make a rattling, low-pitched  "" karr karr karr "" , and receptive females give a quieter  "" rrrr "" . Like many female dabbling ducks, Cinnamon Teal females give a short quack and a 'decrescendo call,' a relatively brief  "" gack-gack-ga-ga. "" No song."
Clapper Rail,Rallus crepitans,Rallidae,Gruiformes,36.5,Call a short series of clacking or grunting notes. 
Clark's Grebe,Aechmophorus clarkii,Podicipedidae,Podicipediformes,65,"Clark's Grebe produces many vocalizations during the breeding season but is largely silent in winter. The advertising call, which commences the rushing display, is a harsh  "" creet— "" a single note rather than the double note typical of Western Grebe. As in that species, the advertising call is soon followed by a harsh trill known as a 'ratchet call.' Females soliciting food from mates give a repeated  "" tuk-a "" , and males give a loud trill during copulation. Both sexes deliver a  "" tuk-tuk-tuk "" , a threat call directed at rivals during ​establishment of the nest site. No song."
Clark's Nutcracker,Nucifraga columbiana,Corvidae,Passeriformes,28.5,"Like other members of the crow family, the Clark's Nutcracker doesn't have any true songs, but it has a large repertoire of calls. It makes grating, metallic  "" kraak "" s to maintain contact with other nutcrackers, it squalls when disturbed, and it makes a froglike croak that may be part of pair-bonding. On the more musical end of the spectrum, family members communicate with low, melodious calls that rise in pitch. "
Clay-colored Sparrow,Spizella pallida,Passerellidae,Passeriformes,NA,"Simple  "" tsip "" notes are repeated on many occasions, including communication between mates, parent to offspring, and among members of a flock. When the birds are alarmed, this note intensifies to a louder, sharper chip. The male's song is a very simple repetition of 2 to 8 low, drawn-out buzzes lasting about 2 seconds in all. It sounds very insectlike."
Cliff Swallow,Petrochelidon pyrrhonota,Hirundinidae,Passeriformes,13,"Their most common call is a soft  "" chur "" . They also give a squeak when foraging and a purr-like alarm call when predators approach the colony. While courting and nesting, Cliff Swallows sing a series of guttural grating sounds and squeaks, usually lasting up to 6 seconds."
Common Eider,Somateria mollissima,Anatidae,Anseriformes,60.55,"Calls hoarse, grating and cooing sounds. "
Common Gallinule,Gallinula galeata,Rallidae,Gruiformes,33.5,"Common Gallinules make all sorts of chickenlike clucks, whinnies, cackles, squawks, and yelps. They often call while hidden from view, leaving you wondering what lurks in the marsh. The rapid series of clucks sounds vaguely raptorlike, but the series often ends with what sounds like a laugh. Their squawks can be low-pitched and grating or high-pitched and piercing. They tend to mix and match calls, throwing in a squawk or cluck after a cackle or vice versa. They are more vocal during the breeding season from April-June.  "
Common Goldeneye,Bucephala clangula,Anatidae,Anseriformes,45.5,"Despite their scientific species name ( "" clangula "" , or 'screaming') Common Goldeneyes are usually silent. Males give a single, short, faint  "" peent "" as part of several courtship displays and a grunting sound following copulation. Females give a harsh, croaking  "" gack "" when disturbed. When circling a lake or prospecting for nest sites, females sometimes make a series of short  "" cuk "" calls. "
Common Grackle,Quiscalus quiscula,Icteridae,Passeriformes,31,"Males and females make a very short, harsh  "" chaa "" or  "" chitip "" call when alarmed, taking flight, or approaching other grackles. Males make a distinctive, short, nasal call while perching in a nesting colony. Common Grackles make a variety of squeaks, whistles, and croaks. The typical song, made by both males and females, is a guttural  "" readle-eak "" accompanied by high-pitched, clear whistles. It lasts just less than a second and is often described as sounding like a rusty gate."
Common Ground Dove,Columbina passerina,Columbidae,Columbiformes,16.5,"Males give a short guttural squawk during the courtship display. Males and females may squawk when jockeying for position at food or water sources. Both males and females make a repeated, high-pitched coo, heard year-round at all hours of the day. Each sequence of coos contains 1-13 rising notes, and a sequence may be repeated 4-5 times per minute for many minutes on end. Ground-doves use variations of this song while courting, while waiting for a mate to return, and when flushing from a nest."
Common Loon,Gavia immer,Gaviidae,Gaviiformes,78.5,"Common Loons are famous for their eerie, beautiful calls. Among these are the tremolo, a wavering call given when a loon is alarmed or to announce its presence at a lake. The yodel is the male loon's territorial claim. Each male has his own signature yodel. If a male moves to a different territory, he will change his yodel. The wail is the haunting call that loons give back and forth to figure out each other's location. Hoots are soft, short calls given to keep in contact with each other. Parents might hoot to a chick, or one mate might hoot to another. "
Common Merganser,Mergus merganser,Anatidae,Anseriformes,62.5,"Common Mergansers are usually silent, but females make a high, rapid  "" cro cro cro "" to call ducklings from the nest, and give harsh  "" gruk "" calls when threatened by predators. Males give hoarse calls when alarmed and bell-like or twanging calls during courtship. "
Common Murre,Uria aalge,Alcidae,Charadriiformes,40.5,"Generally silent at sea, makes gutteral  "" urr ""  at colony. "
Common Nighthawk,Chordeiles minor,Caprimulgidae,Caprimulgiformes,23,"Common Nighthawks give a nasal  "" peent "" or  "" beer "" call while flying. When defending a nest, the female gives a hissing or throaty cluck. Courting males give a croaking  "" auk auk auk "" call. "
Common Pauraque,Nyctidromus albicollis,Caprimulgidae,Caprimulgiformes,29," Song a loud burry whistle,  "" purr-WEEE-eer. "" "
Common Poorwill,Phalaenoptilus nuttallii,Caprimulgidae,Caprimulgiformes,20,"Birds that have been disturbed give growling, barking, and hissing calls. The male's song during the breeding season is a repeated, whistled  "" poorwillip "" . This gives the species its name, as the final syllable is difficult to hear at any distance."
Common Raven,Corvus corax,Corvidae,Passeriformes,62.5,"Common Ravens make many different kinds of calls varying from a low, gurgling croak to harsh grating sounds and shrill alarm calls. Scientists have placed their vocalizations into as many as 33 different categories based on sound and context. The most commonly heard is the classic gurgling croak, rising in pitch and seeming to come from the back of the throat. It's much deeper and more musical than a crow's simple, scratchy caw. Ravens make this call often. It's audible for more than a mile, and ravens often give it in response to other ravens they hear in the distance. Among their other calls, ravens make short, repeated, shrill calls when chasing predators or trespassers, and deep, rasping calls when their nests are disturbed. Dominant females sometimes make a rapid series of 12 or so loud knocking sounds that lasts about a second. Common Ravens can mimic other birds, and when raised in captivity can even be taught words. "
Common Redpoll,Acanthis flammea,Fringillidae,Passeriformes,13,"Common Redpolls form vocal, chattering flocks characterized by three main calls: a chatter of several sharp, zapping notes; a nasal, rising whistle lasting nearly half a second, and a rattle or trill that lasts nearly a second. Redpoll songs are mainly a combination of their call notes given in a long string, lasting up to half a minute."
Common Tern,Sterna hirundo,Laridae,Charadriiformes,34.5,"Terns are vocal birds with a variety of harsh, burry, and shrill calls. In flight or in territorial disputes they give a down-slurred burry and nasal call. When they are alarmed or threatened by other terns they give a grating "" kee-ar "" . They also give a sharp  "" kip "" often when feeding in a flock or when taking off from a colony.  "
Common Yellowthroat,Geothlypis trichas,Parulidae,Passeriformes,12,"Both males and females give a strong  "" chuck "" when potential predators approach. Males give an aggressive chatter call when other males are singing, and females give a fast series of chipping notes when they're ready to mate. The male sings a distinctive  "" witchety-witchety-witchety "" song, about 2 seconds long, to defend the territory and attract females. They give these songs very frequently during summer, averaging as high as 125 songs per hour and sometimes reaching 300 songs per hour."
Connecticut Warbler,Oporornis agilis,Parulidae,Passeriformes,14,"Call a soft  "" witch. ""  Song a loud, ringing  "" chippy-chuppy, chippy-chuppy, chippy-chuppy, ""  being most emphatic in the middle."
Cooper's Hawk,Accipiter cooperii,Accipitridae,Accipitriformes,38,"Outside of the breeding season, Cooper's Hawks tend to be silent. The most common call is a loud, grating  "" cak-cak-cak "" , 2-5 seconds long, given by both sexes in defense of the nest. This call is also given during courtship. Males frequently make a  "" kik "" call to tell their mates where they are; females make this call too, but less often. Females make a  "" whaa "" call when approaching or receiving food from males. "
Cordilleran Flycatcher,Empidonax occidentalis,Tyrannidae,Passeriformes,15.5,"Call is a sharp  "" seet! ""  Song high-pitched, squeaky, three-part  "" ps-SEET, ptsick, seet! "" "
Costa's Hummingbird,Calypte costae,Trochilidae,Caprimulgiformes,NA,"Females call with a sharp, dry tic when foraging or flying, but males rarely call. They call singly or give a series of tics. Males sing a thin, high-pitched whistle when perched and when performing a looping dive. From a perch, a male whistles 4 short and thin notes less than 1 second long. During his looping dive, his whistle rises and falls in pitch for about 2.5 seconds."
Couch's Kingbird,Tyrannus couchii,Tyrannidae,Passeriformes,22,"Both sexes make a quick  "" kip "" and a harsh, grating  "" queer  "" or  "" chi-queer.  "" Males give a longer  "" tzeeeeerr  "" call. Males sing a burry series of  "" peer  "" notes interspersed with querulous notes or shap  "" pit "" s, very different from the twittering songs of Tropical Kingbirds. Most often heard from nesting birds, both at the end of the day and before dawn (and often called  "" dawn song. "" )"
Crested Caracara,Caracara cheriway,Falconidae,Falconiformes,53.5,"Crested Caracaras are mostly silent, but when disturbed, they occasionally make a hollow rattling that sounds similar to running a stick along a fence. They throw their heads back, lifting their bills to the sky while giving a rattle. They tend to be more vocal during the breeding season.  "
Crissal Thrasher,Toxostoma crissale,Mimidae,Passeriformes,30,"Call note a  "" pitchoree. ""  Song is a long series of rich, warbled, variable phrases."
Curve-billed Thrasher,Toxostoma curvirostre,Mimidae,Passeriformes,27.5,"The  "" whit-wheet "" , or double whistle, sometimes described as the whistle of someone hailing a taxi, is the most common call. Other calls, usually heard during the nesting season, include a wrenlike fuss and a low  "" chuk "" . Curve-billed Thrashers sing a pleasant, highly variable ditty composed of repeated notes in short, often staccato phrases, some soft but many sounding more grating or harsh. In the eastern population, singing Curve-billeds regularly include imitations of other songbirds' calls."
Dark-eyed Junco,Junco hyemalis,Passerellidae,Passeriformes,15,"Juncos have a high, short chip note that they often give in rapid succession when they fly and more slowly as they forage; the note may encourage other juncos to follow. A sharp but musical  "" kew "" seems to indicate aggression and encourages two birds to move apart; it's usually given by the dominant bird. You may also hear juncos give a high, fast twittering call of 6-19 notes during altercations or as birds flush. Male Dark-eyed Juncos sing an even, musical trill of 7-23 notes that lasts up to 2 seconds. It's similar to the songs of both the Chipping Sparrow and the Pine Warbler, and is loud enough to be heard from several hundred feet away. Both sexes sing a much quieter song as well, a series of whistles, trills, and warbles that may sound like an American Goldfinch. This song typically doesn't carry any farther than about 40 feet."
Dickcissel,Spiza americana,Cardinalidae,Passeriformes,15,"The typical Dickcissel call note is a dry  "" chek.  "" The distinctive flight call is a buzzer-like  "" pzzzt.  "" While there can be a fair amount of variation among Dickcissel songs, the basic song is a simple, buzzy  "" dick-dick-see-see-see,  "" from whence the bird gets its name. "
Double-crested Cormorant,Phalacrocorax auritus,Phalacrocoracidae,Suliformes,80,"The Double-crested Cormorant makes deep, guttural grunts that sound a bit like an oinking pig. They grunt when taking off or landing, or during mating or aggressive displays, but otherwise are generally silent. "
